Faction;Cabinet Position;Name;Trait (spelled out as text);Historical Photo URL
Shaanxi;Chief of Air Force;Yang Hucheng;air superiority doctrine;https://commons.wikimedia.org/wiki/File:Yang_Hucheng.jpg
Suiyuan;Head of State;Fu Zuoyi;old general;https://commons.wikimedia.org/wiki/File:Fu_Zuoyi.jpg
Suiyuan;Head of Government;Fu Zuoyi;silent workhorse;https://commons.wikimedia.org/wiki/File:Fu_Zuoyi.jpg
Suiyuan;Foreign Minister;Shi Yousan;biased intellectual;https://commons.wikimedia.org/wiki/File:Shi_Yousan.jpg
Suiyuan;Minister of Armament;Fu Zuoyi;administrative genius;https://commons.wikimedia.org/wiki/File:Fu_Zuoyi.jpg
Suiyuan;Minister of Security;Fu Zuoyi;crime fighter;https://commons.wikimedia.org/wiki/File:Fu_Zuoyi.jpg
Suiyuan;Head of Military Intelligence;Shi Yousan;logistics specialist;https://commons.wikimedia.org/wiki/File:Shi_Yousan.jpg
Suiyuan;Chief of Staff;Fu Zuoyi;school of manoeuvre;https://commons.wikimedia.org/wiki/File:Fu_Zuoyi.jpg
Suiyuan;Chief of Army;Fu Zuoyi;elastic defence doctrine;https://commons.wikimedia.org/wiki/File:Fu_Zuoyi.jpg
Suiyuan;Chief of Navy;Fu Zuoyi;undistinguished suit;https://commons.wikimedia.org/wiki/File:Fu_Zuoyi.jpg
Suiyuan;Chief of Air Force;Fu Zuoyi;army aviation doctrine;https://commons.wikimedia.org/wiki/File:Fu_Zuoyi.jpg
Sichuan;Head of State;Liu Xiang;powerhungry demagogue;https://commons.wikimedia.org/wiki/File:Liu_Xiang_(warlord).jpg
Sichuan;Head of Government;Liu Xiang;political protege;https://commons.wikimedia.org/wiki/File:Liu_Xiang_(warlord).jpg
Sichuan;Foreign Minister;Yang Sen;biased intellectual;https://commons.wikimedia.org/wiki/File:Yang_Sen.jpg
Sichuan;Minister of Armament;Deng Xihou;laissez-faire capitalist;https://commons.wikimedia.org/wiki/File:Deng_Xihou.jpg
Sichuan;Minister of Security;Yang Sen;prince of terror;https://commons.wikimedia.org/wiki/File:Yang_Sen.jpg
Sichuan;Head of Military Intelligence;Yang Sen;industrial specialist;https://commons.wikimedia.org/wiki/File:Yang_Sen.jpg
Sichuan;Chief of Staff;Deng Xihou;school of mass combat;https://commons.wikimedia.org/wiki/File:Deng_Xihou.jpg
Sichuan;Chief of Army;Liu Xiang;armoured spearhead doctrine;https://commons.wikimedia.org/wiki/File:Liu_Xiang_(warlord).jpg
Sichuan;Chief of Navy;Liu Xiang;undistinguished suit;https://commons.wikimedia.org/wiki/File:Liu_Xiang_(warlord).jpg
Sichuan;Chief of Air Force;Liu Xiang;army aviation doctrine;https://commons.wikimedia.org/wiki/File:Liu_Xiang_(warlord).jpg
Hebei-Chahar;Head of State;Song Zheyuan;stern imperialist;https://commons.wikimedia.org/wiki/File:Song_Zheyuan.jpg
Hebei-Chahar;Head of Government;Song Zheyuan;silent workhorse;https://commons.wikimedia.org/wiki/File:Song_Zheyuan.jpg
Hebei-Chahar;Foreign Minister;Shi Yousan;the cloak n dagger schemer;https://commons.wikimedia.org/wiki/File:Shi_Yousan.jpg
Hebei-Chahar;Minister of Armament;Song Zheyuan;administrative genius;https://commons.wikimedia.org/wiki/File:Song_Zheyuan.jpg
Hebei-Chahar;Minister of Security;Song Zheyuan;prince of terror;https://commons.wikimedia.org/wiki/File:Song_Zheyuan.jpg
Hebei-Chahar;Head of Military Intelligence;Shi Yousan;political specialist;https://commons.wikimedia.org/wiki/File:Shi_Yousan.jpg
Hebei-Chahar;Chief of Staff;Song Zheyuan;school of defence;https://commons.wikimedia.org/wiki/File:Song_Zheyuan.jpg
Hebei-Chahar;Chief of Army;Song Zheyuan;static defence doctrine;https://commons.wikimedia.org/wiki/File:Song_Zheyuan.jpg
Hebei-Chahar;Chief of Navy;Song Zheyuan;undistinguished suit;https://commons.wikimedia.org/wiki/File:Song_Zheyuan.jpg
Hebei-Chahar;Chief of Air Force;Song Zheyuan;air superiority doctrine;https://commons.wikimedia.org/wiki/File:Song_Zheyuan.jpg
