8021;Total Provinces;ID;ENG;Region
62.89333471;27.67933851;PROV147;Kuopio;Finland
60.98369251;25.65031691;PROV148;Lahti;Finland
62.60108991;29.76352971;PROV149;Joensuu;Finland
64.95000001;34.58333301;PROV150;Kem';White Sea Tundra
63.73333301;34.31666701;PROV151;Segeza;White Sea Tundra
61.78333301;34.33333301;PROV152;Petrozavodsk;White Sea Tundra
59.86016361;38.37551881;PROV153;Kirillov;Russia
64.54725071;40.56015531;PROV154;Arhangel'sk;White Sea Tundra
44.95211701;34.10241701;PROV155;Simferopol';Ukraine
52.71666711;41.43333311;PROV156;Tambov;Russia
51.3680942;42.0825626;PROV157;Borisoglebsk;Russia
54.3166671;48.3666671;PROV158;Ul'janovsk;Russia
48.6078001;42.8486001;PROV159;Surovikino;Russia
50.7974183;42.0056002;PROV160;Urjupinsk;Russia
49.6833331;26.5833331;PROV161;Kam'ânec'-Podil's'kij;Ukraine
44.6000001;40.0833331;PROV162;Majkop;Kaukasus
48.7000001;44.5166671;PROV163;Stalingrad;Russia
49.7628641;43.6450935;PROV164;Frolovo;Russia
59.9666671;42.7500001;PROV165;Tot'ma;Russia
56.2965039;43.9360589;PROV166;Gor'kij;Russia
57.0050671;40.9766453;PROV167;Ivanovo;Russia
55.4000001;43.8166671;PROV168;Arzamas;Russia
54.3500001;41.9166671;PROV169;Sasovo;Russia
58.0500001;38.8333331;PROV170;Rybinsk;Russia
59.2180665;39.8978052;PROV171;Volodga;Russia
61.0076566;36.4357397;PROV172;Vytegra;Russia
56.8603977;37.3598916;PROV173;Kimry;Russia
56.8587214;35.9175965;PROV174;Kalinin;Russia
55.7558261;37.6173001;PROV175;Moskva;Russia
56.0166671;37.4833331;PROV176;Lobnja;Russia
57.6260744;39.8844708;PROV177;Jaroslavl';Russia
56.1445956;40.4178686;PROV178;Vladimir;Russia
55.5666671;42.0333331;PROV179;Murom;Russia
55.8000001;38.9666671;PROV180;Orehovo-Zuevo;Russia
53.8666671;34.4333331;PROV181;Ljudinovo;Russia
55.2000001;34.2833331;PROV182;Vjaz'ma;Russia
65.8854811;31.8315001;PROV183;Kesten'ga;White Sea Tundra
64.5252781;34.7658331;PROV184;Soroka;White Sea Tundra
59.6443858;33.5410321;PROV185;Tihvin;Russia
59.5624627;30.1064659;PROV186;Krasnogvardejsk;Russia
59.9342802;30.3350986;PROV187;Leningrad;Russia
59.5759603;28.8043387;PROV188;Kingisepp;Russia
59.4460543;32.0151881;PROV189;Kirisi;Russia
58.3925508;33.9068256;PROV190;Borovici;Russia
58.0100211;31.3333331;PROV191;Staraja Russa;Russia
58.7450819;27.8188825;PROV192;Gdov;Russia
59.3796798;26.1791333;PROV193;Narva;Baltic States
59.4369608;24.7535746;PROV194;Tallinn;Baltic States
58.2529231;22.4850408;PROV195;Kuressaare;Baltic States
58.3858079;24.4965768;PROV196;Pärnu;Baltic States
56.9496487;24.1051864;PROV197;Riga;Baltic States
57.5384659;25.4263618;PROV198;Valmiera;Baltic States
58.3776252;26.7290063;PROV199;Tartu;Baltic States
58.5255698;31.2741928;PROV200;Novgorod;Russia
57.8166994;28.3344734;PROV201;Pskov;Russia
55.8747361;26.5361791;PROV202;Daugavpils;Baltic States
56.5014551;25.8782991;PROV203;Jekabpils;Baltic States
56.6511091;23.7213541;PROV204;Jelgava;Baltic States
56.5046678;21.0108061;PROV205;Liepaja;Baltic States
55.9349085;23.3136823;PROV206;Siauliai;Baltic States
54.8985207;23.9035965;PROV207;Kaunas;Baltic States
53.1234804;18.0084378;PROV208;Bydgoszcz;Poland
53.4754012;24.2168705;PROV209;Grodno;Poland
53.0875127;25.3087192;PROV210;Slonim;Poland
51.7672799;18.0853462;PROV211;Kalisz;Poland
53.9045398;27.5615244;PROV212;Minsk;Belarus
55.1391321;27.6842904;PROV213;Glebokie;Poland
54.6871555;25.2796514;PROV214;Wilno;Poland
56.3396088;30.5314751;PROV215;Velikije Luki;Russia
57.8333331;29.9666671;PROV216;Dno;Russia
55.1848061;30.2016221;PROV217;Viciebsk;Belarus
54.5071478;30.4119546;PROV218;Orsa;Belarus
54.7903112;32.0503663;PROV219;Smolensk;Russia
53.9007159;30.3313598;PROV220;Mahilou;Belarus
53.1446069;29.2213753;PROV221;Babrujsk;Belarus
52.6483303;19.0677357;PROV222;Wloclawek;Poland
54.5101219;21.2148736;PROV223;Tilsit;Germany
46.8416936;16.8416322;PROV224;Zalaegerszeg;Hungary
52.0322082;29.2223129;PROV225;Mazyr;Belarus
50.583333;27.633333;PROV226;Novograd-Volinskij;Ukraine
50.25465001;28.65866701;PROV227;Zitomir;Ukraine
49.23308301;28.46821701;PROV228;Vinnicâ;Ukraine
49.90469281;25.78082581;PROV229;Tarnopol;Poland
47.75399471;27.91841481;PROV230;Balti;Romania
48.25512341;27.80805601;PROV231;Mogiliv-Podil's'kij;Ukraine
47.94000001;29.62194401;PROV232;Balta;Ukraine
46.48252601;30.72330951;PROV233;Odesa;Ukraine
46.97503301;31.99458301;PROV234;Mikolaiv;Ukraine
47.91048301;33.39178301;PROV235;Krivij Rig;Ukraine
48.50793301;32.26231701;PROV236;Kirovograd;Ukraine
49.44443301;32.05976701;PROV237;Cerkasi;Ukraine
50.45010001;30.52340001;PROV238;Kiiv;Ukraine
51.03805601;31.88611101;PROV239;Nizin;Ukraine
50.95000001;28.63333301;PROV240;Korosten';Ukraine
51.49820001;31.28935001;PROV241;Cernigiv;Ukraine
51.24094321;33.20505211;PROV242;Konotop;Ukraine
52.11666701;35.06666701;PROV243;Dmitriev-L'govskij;Russia
50.90770001;34.79810001;PROV244;Sumi;Ukraine
49.06578301;33.41003301;PROV245;Kremencuk;Ukraine
49.58826701;34.55141701;PROV246;Poltava;Ukraine
50.59971341;36.59826211;PROV247;Belgorod;Russia
49.99350001;36.23038301;PROV248;Harkiv;Ukraine
47.83880001;35.13956701;PROV249;Zaporizzâ;Ukraine
46.83333301;35.36666701;PROV250;Melitopol';Ukraine
46.63541701;32.61686701;PROV251;Herson;Ukraine
45.19045001;33.36686701;PROV252;Evpatorija;Ukraine
44.61665001;33.52536701;PROV253;Sevastopol';Ukraine
45.35731401;36.46829301;PROV254;Kerc';Ukraine
44.71666701;37.75000001;PROV255;Novorossijsk;Kaukasus
45.03333301;38.96666701;PROV256;Krasnodar;Kaukasus
46.47250001;41.54280001;PROV257;Sal'sk;Kaukasus
47.09713301;37.54336701;PROV258;Mariupol';Ukraine
48.57404101;39.30781501;PROV259;Lugans'k;Ukraine
48.01588301;37.80285001;PROV260;Stalino;Ukraine
50.63333301;38.70000001;PROV261;Alekseevka;Russia
51.29808241;37.83795931;PROV262;Staryj Oskol;Russia
50.20000001;39.55000001;PROV263;Rossos;Russia
50.45780001;40.10810001;PROV264;Pavlovsk;Russia
47.70000001;40.23333301;PROV265;Sahty;Russia
49.70166701;37.61333301;PROV266;Kup'âns'k;Ukraine
50.42298301;26.98713301;PROV267;Proskuriv;Ukraine
48.33861101;41.87694491;PROV268;Morozovskaja;Russia
47.23333301;39.70000001;PROV269;Rostov-na-Donu;Russia
47.51666701;40.80000001;PROV270;Semikarakorskaja;Kaukasus
48.18177681;40.78544441;PROV271;Belaja Kalitva;Russia
53.0210495;27.5540131;PROV272;Sluck;Belarus
52.7990255;27.9918895;PROV273;Luban;Belarus
52.4411761;30.9878462;PROV274;Homel;Belarus
53.953118;32.863845;PROV275;Roslavl';Russia
52.9668468;36.0624898;PROV276;Orël;Russia
52.7566164;32.2566693;PROV277;Klincy;Russia
52.424625;37.5996415;PROV278;Livny;Russia
54.6095418;39.7125857;PROV279;Rjazan';Russia
51.546944;43.173333;PROV280;Balasov;Russia
51.6754966;39.2088823;PROV281;Voronez;Russia
51.7091957;36.1562241;PROV282;Kursk;Russia
52.6170992;38.5048669;PROV283;Elec;Russia
52.6121996;39.5981225;PROV284;Lipeck;Russia
55.1081062;33.2377446;PROV285;Safonovo;Russia
56.2291711;32.7908474;PROV286;Nelidovo;Russia
58.85000001;32.233333;PROV287;Malaja Visera;Russia
56.2583967;34.3283487;PROV288;Rzev;Russia
57.5836032;34.5642592;PROV289;Vysnij Volocëk;Russia
55.7488087;12.6885282;PROV290;Öresund;Baltic Sea
45.4928973;15.5552683;PROV291;Karlovac;Balkan
57.44271101;10.521006;PROV292;Frederikshavn;Denmark
55.40375601;10.40237;PROV293;Odense;Denmark
55.6760968;12.5683371;PROV294;Kobenhavn;Denmark
55.10101701;14.708329;PROV295;Ronne;Denmark
54.0924406;12.0991466;PROV296;Rostock;Germany
52.9154545;12.7990783;PROV297;Neuruppin;Germany
51.4969802;12.9688029;PROV298;Halle;Germany
52.3905689;13.0644729;PROV299;Potsdam;Germany
52.5200066;13.404954;PROV300;West-Berlin;Germany
54.2994048;13.0877143;PROV301;Stralsund;Germany
53.4285438;14.5528116;PROV302;Stettin;Germany
54.3520252;18.6466384;PROV303;Danzig;Germany
54.1560613;19.4044897;PROV304;Elbing;Germany
52.5463446;19.7065364;PROV305;Plock;Poland
54.5188898;18.5305409;PROV306;Gdynia;Poland
53.0137902;18.5984437;PROV307;Torun;Poland
52.4444808;15.5779005;PROV308;Meseritz;Germany
51.7563108;14.3328679;PROV309;Cottbus;Germany
51.3396955;12.3730747;PROV310;Leipzig;Germany
51.0504088;13.7372621;PROV311;Dresden;Germany
49.45203;11.07675;PROV312;Nürnberg;Germany
50.1109221;8.6821267;PROV313;Frankfurt am Main;Germany
48.7758459;9.1829321;PROV314;Stuttgart;Germany
47.9990077;7.8421043;PROV315;Freiburg im Breisgau;Germany
47.750839;7.335888;PROV316;Mulhouse;France
48.172402;6.449403;PROV317;Épinal;France
47.798202;3.573781;PROV318;Auxerre;France
45.439695;4.3871779;PROV319;Saint-Étienne;France
46.811434;1.686779;PROV320;Châteauroux;France
45.833619;1.261105;PROV321;Limoges;France
45.184029;0.7211149;PROV322;Périgueux;France
46.16032901;-1.151139;PROV323;La Rochelle;France
44.02212521;2.3529599;PROV324;Montauban;France
43.89348501;-0.499782;PROV325;Mont-de-Marsan;France
43.49294901;-1.474841;PROV326;Bayonne;France
43.64638001;0.586709;PROV327;Auch;France
42.96412701;1.4605232;PROV328;Foix;France
42.13184501;-0.4078058;PROV329;Huesca;Spain
41.64882261;-0.8890853;PROV330;Zaragoza;Spain
43.26301261;-2.9349852;PROV331;Bilbao;Spain
43.36191451;-5.8493887;PROV332;Oviedo;Spain
42.34399251;-3.696906;PROV333;Burgos;Spain
43.36234361;-8.4115401;PROV334;La Coruña;Spain
41.15794381;-8.6291053;PROV335;Porto;Portugal
38.72225241;-9.1393366;PROV336;Lisboa;Portugal
40.20331451;-8.4102573;PROV337;Coimbra;Portugal
39.47527651;-6.3724247;PROV338;Cáceres;Spain
41.65225101;-4.7245321;PROV339;Valladolid;Spain
41.76659721;-2.4790306;PROV340;Soria;Spain
40.41677541;-3.7037902;PROV341;Madrid;Spain
39.86283161;-4.0273231;PROV342;Toledo;Spain
38.87944951;-6.9706535;PROV343;Badajoz;Spain
38.52604371;-8.8909328;PROV344;Setúbal;Portugal
38.01530391;-7.8627308;PROV345;Beja;Portugal
37.26142101;-6.9447224;PROV346;Huelva;Spain
37.38909241;-5.9844589;PROV347;Sevilla;Spain
36.14077341;-5.3535994;PROV348;Gibraltar;Spain
36.72126101;-4.4212655;PROV349;Málaga;Spain
36.97212611;-3.4212655;PROV350;Granada;Spain
37.88817511;-4.7793835;PROV351;Córdoba;Spain
37.99223991;-1.1306544;PROV352;Murcia;Spain
38.98482951;-3.92737781;PROV353;Ciudad Real;Spain
39.46990751;-0.37628811;PROV354;Valencia;Spain
39.98635631;-0.05132461;PROV355;Castellón de la Plana;Spain
41.11888271;1.24449091;PROV356;Tarragona;Spain
41.38506391;2.17340351;PROV357;Barcelona;Spain
42.68865911;2.89483321;PROV358;Perpignan;France
43.60465201;1.84442091;PROV359;Toulouse;France
46.13185901;3.42548801;PROV360;Vichy;France
45.77722201;3.08702501;PROV361;Clermont-Ferrand;France
43.61076901;3.87671601;PROV362;Montpellier;France
43.83669901;4.36005401;PROV363;Nîmes;France
43.29648201;5.36978011;PROV364;Marseille;France
43.12422801;5.92800011;PROV365;Toulon;France
43.71017281;7.26195321;PROV366;Nice;France
41.91922901;8.73863511;PROV367;Ajaccio;France
44.40564991;8.94625611;PROV368;Genova;Italy
44.80148501;10.32790361;PROV369;Parma;Italy
45.46542191;9.18592431;PROV370;Milano;Italy
46.07009151;11.11976261;PROV371;Trento;Italy
46.00651171;8.95231211;PROV372;Lugano;Switzerland
47.50075001;9.74231001;PROV373;Bregenz;Austria
48.37054491;10.89779011;PROV374;Augsburg;Germany
49.01342971;12.10162361;PROV375;Regensburg;Germany
48.1351253;11.5819806;PROV376;München;Germany
47.2692124;11.4041024;PROV377;Innsbruck;Austria
45.4408474;12.3155151;PROV378;Venezia;Italy
44.9564168;10.4913751;PROV379;Mantova;Italy
46.0569465;14.5057515;PROV380;Ljubljana;Balkan
44.119371;15.2313648;PROV381;Zara;Balkan
45.8150108;15.981919;PROV382;Zagreb;Balkan
44.7721811;17.191;PROV383;Banja Luka;Balkan
43.5081323;16.4401935;PROV384;Split;Balkan
43.8562586;18.4130763;PROV385;Sarajevo;Balkan
44.5374611;18.6734688;PROV386;Tuzla;Balkan
43.3422732;17.8127536;PROV387;Mostar;Balkan
42.6506606;18.0944238;PROV388;Dubrovnik;Balkan
42.38;18.92;PROV389;Cetinje;Balkan
41.3275459;19.8186982;PROV390;Tiranë;Balkan
40.465;19.485;PROV391;Vlorë;Balkan
39.6650288;20.8537466;PROV392;Ioannina;Balkan
39.6249838;19.9223461;PROV393;Kerkyra;Balkan
38.2466395;21.734574;PROV394;Patra;Balkan
37.9386365;22.9322383;PROV395;Korinthos;Balkan
35.3387352;25.1442126;PROV396;Hrakleio;Balkan
40.6681407;28.1122679;PROV397;Sea of Marmara;Black Sea
36.9522824;26.9807653;PROV398;Kalymnos;Balkan
36.4349631;28.2174829;PROV399;Rodos;Balkan
38.4645245;23.6050695;PROV400;Chalkida;Balkan
37.983917;23.7293599;PROV401;Athina;Balkan
39.6390224;22.4191254;PROV402;Larissa;Balkan
38.8959734;22.4349003;PROV403;Lamia;Balkan
32.7940463;34.989571;PROV404;Hayfa;Middle East
39.1067382;26.5572747;PROV405;Mytilini;Balkan
31.252973;34.791462;PROV406;Bi'r as-Saba';Middle East
31.8799289;36.827477;PROV407;Azraq;Middle East
40.182846;29.067084;PROV408;Bursa;Anatolia
41.00527;28.97696;PROV409;Istanbul;Anatolia
40.93760701;24.41286601;PROV410;Kavala;Balkan
40.99370711;22.87536741;PROV411;Kilkis;Balkan
40.64006291;22.94441911;PROV412;Thessaloniki;Balkan
41.99734621;21.42799561;PROV413;Skoplje;Balkan
41.73750301;22.19355801;PROV414;Stip;Balkan
42.66291381;21.16550281;PROV415;Pristina;Balkan
42.02086141;23.09433561;PROV416;Gorna Dzhumaya;Balkan
42.69770821;23.32186751;PROV417;Sofia;Balkan
35.11491161;33.91924501;PROV418;Gazimagusa;Anatolia
43.21023751;23.55288031;PROV419;Vraca;Balkan
43.41704231;24.60668471;PROV420;Pleven;Balkan
42.13540791;24.74529041;PROV421;Plovdiv;Balkan
42.50479261;27.46263611;PROV422;Burgas;Balkan
43.57259001;27.82726061;PROV423;Bazargic;Romania
44.42676741;26.10253841;PROV424;Bucuresti;Romania
43.90083301;25.97388901;PROV425;Giurgiu;Romania
44.33333301;23.81666701;PROV426;Craiova;Romania
46.06694401;23.57000001;PROV427;Alba Iulia;Romania
46.76666701;23.58333301;PROV428;Cluj;Romania
46.58333301;26.91666701;PROV429;Bacau;Romania
45.79278401;24.15206901;PROV430;Sibiu;Romania
44.93333301;26.03333301;PROV431;Ploesti;Romania
45.26919401;27.95747201;PROV432;Braila;Romania
47.15694401;27.59027801;PROV433;Iasi;Romania
47.00000001;28.91666701;PROV434;Chisinau;Romania
45.35166701;28.83638901;PROV435;Ismail;Romania
44.17333301;28.63833301;PROV436;Constanta;Romania
37.77652001;29.08639001;PROV437;Denizli;Anatolia
36.88414001;30.70563001;PROV438;Antalya;Anatolia
40.77598601;29.94835701;PROV439;Izmit;Anatolia
41.38871001;33.78273001;PROV440;Kastamonu;Anatolia
41.20610001;32.62035001;PROV441;Karabük;Anatolia
37.86666701;32.48333301;PROV442;Konya;Anatolia
36.80000001;34.63333301;PROV443;Mersin;Anatolia
35.16666701;33.36666701;PROV444;Lefkosia;Anatolia
37.00000001;35.32133301;PROV445;Adana;Anatolia
40.61666701;43.10000001;PROV446;Kars;Anatolia
39.84682101;33.51525101;PROV447;Kirikkale;Anatolia
39.92077001;32.85411001;PROV448;Ankara;Anatolia
41.29278201;36.33128001;PROV449;Samsun;Anatolia
41.00145001;39.71779991;PROV450;Trabzon;Anatolia
43.32090221;21.89575891;PROV451;Nis;Balkan
43.85540241;19.84209371;PROV452;Uzice;Balkan
44.78656801;20.44892161;PROV453;Beograd;Balkan
45.55496241;18.69551441;PROV454;Osijek;Balkan
45.89879721;16.84230931;PROV455;Bjelovar;Balkan
46.0727345;18.232266;PROV456;Pécs;Hungary
47.497912;19.040235;PROV457;Budapest;Hungary
47.1860262;18.4221358;PROV458;Székesfehérvár;Hungary
46.5546503;15.6458812;PROV459;Maribor;Balkan
47.37639;15.09113;PROV460;Leoben;Austria
46.6364598;14.3122246;PROV461;Klagenfurt;Austria
47.80949;13.05501;PROV462;Salzburg;Austria
48.2081743;16.3738189;PROV463;Wien;Austria
48.5625696;16.0787228;PROV464;Hollabrunn;Austria
48.50217;14.50201;PROV465;Freistadt;Austria
50.2318521;12.8719616;PROV466;Karlovy Vary;Czechoslovakia
48.8559107;16.0542676;PROV467;Znojmo;Czechoslovakia
50.2103605;15.825211;PROV468;Hradec Králové;Czechoslovakia
50.0755381;14.4378005;PROV469;Praha;Czechoslovakia
49.7384314;13.3736371;PROV470;Plzen;Czechoslovakia
50.76628;15.0543387;PROV471;Liberec;Czechoslovakia
49.9406598;17.8947989;PROV472;Opava;Czechoslovakia
51.1078852;17.0385376;PROV473;Breslau;Germany
49.8209226;18.2625243;PROV474;Ostrava;Czechoslovakia
49.1950602;16.6068371;PROV475;Brno;Czechoslovakia
48.1458923;17.1071373;PROV476;Bratislava;Czechoslovakia
48.736277;19.1461917;PROV477;Banská Bystrica;Czechoslovakia
48.8944464;18.0407528;PROV478;Trencin;Czechoslovakia
50.0646501;19.9449799;PROV479;Kraków;Poland
50.8118195;19.1203094;PROV480;Czestochowa;Poland
51.7592485;19.4559833;PROV481;Lódz;Poland
51.2134346;17.3898504;PROV482;Oels;Germany
52.406374;16.9251681;PROV483;Poznan;Poland
51.4027236;21.1471333;PROV484;Radom;Poland
52.2296756;21.0122287;PROV485;Warszawa;Poland
50.0648919;19.0237815;PROV486;Katowice;Poland
51.2464536;22.5684463;PROV487;Lublin;Poland
49.6174535;20.7153326;PROV488;Nowy Sacz;Poland
50.0411867;21.9991196;PROV489;Rzeszow;Poland
48.7210053;21.2577999;PROV490;Kosice;Czechoslovakia
48.0963631;20.762386;PROV491;Miskolc;Hungary
46.2530102;20.1414253;PROV492;Szeged;Hungary
45.2671352;19.8335496;PROV493;Novi Sad;Balkan
45.38156121;20.36857381;PROV494;Petrovgrad;Balkan
45.75972201;21.23000001;PROV495;Timisoara;Romania
46.16666701;21.31666701;PROV496;Arad;Romania
47.53160491;21.62731231;PROV497;Debrecen;Hungary
47.07222201;21.92111101;PROV498;Oradea;Romania
48.18138901;23.29777801;PROV499;Chust;Czechoslovakia
49.35801161;23.51231931;PROV500;Drohobycz;Poland
49.83968301;23.02971701;PROV501;Lwów;Poland
50.61990001;26.25161701;PROV502;Równe;Poland
52.09762141;23.73405031;PROV503;Brzesc Litewski;Poland
52.03871261;23.14450261;PROV504;Biala Podlaska;Poland
53.13248861;23.16884031;PROV505;Bialystok;Poland
50.74723301;25.32538301;PROV506;Luck;Poland
