From;To;Type;Through;Comment;;;;;;
1163;3212;river;0;Évora - Serpa;;;;;;
1163;343;river;0;Évora - Badajoz;;;;;;
1163;7981;river;0;Évora - Olivenza;;;;;;
3210;7981;river;0;Portalegre - Olivenza;;;;;;
3210;343;river;0;Portalegre - Badajoz;;;;;;
338;343;river;0;Cáceres - Badajoz;;;;;;
338;3198;river;0;Cáceres - Merida;;;;;;
3197;3198;river;0;Trujillo - Merida;;;;;;
3197;7164;river;0;Trujillo - Don Benito;;;;;;
342;7164;river;0;Toledo - Don Benito;;;;;;
342;353;river;0;Toledo - Ciudad Real;;;;;;
3192;353;river;0;Alcazar de San Juan - Ciudad Real;;;;;;
3192;3193;river;0;Alcazar de San Juan - Tomelloso;;;;;;
3192;7108;river;0;Alcazar de San Juan - Villarrobledo;;;;;;
354;1714;river;0;Valencia - Alicante;;;;;;
354;7106;river;0;Valencia - Villena;;;;;;
7109;7106;river;0;Requena - Villena;;;;;;
1162;7106;river;0;Cuenca - Villena;;;;;;
1162;1161;river;0;Cuenca - Albacete;;;;;;
1162;7108;river;0;Cuenca - Villarrobledo;;;;;;
1162;3191;river;0;Cuenca - Tarancón;;;;;;
3190;3191;river;0;Sigüenza - Tarancón;;;;;;
1531;3191;river;0;Guadalajara - Tarancón;;;;;;
341;3191;river;0;Madrid - Tarancón;;;;;;
341;3192;river;0;Madrid - Alcazar de San Juan;;;;;;
3194;3192;river;0;Móstoles - Alcazar de San Juan;;;;;;
3194;342;river;0;Móstoles - Toledo;;;;;;
3194;3197;river;0;Móstoles - Trujillo;;;;;;
3196;3197;river;0;Plasencia - Trujillo;;;;;;
3196;338;river;0;Plasencia - Cáceres;;;;;;
965;338;river;0;Castelo Branco - Cáceres;;;;;;
965;3210;river;0;Castelo Branco - Portalegre;;;;;;
965;344;river;0;Castelo Branco - Setúbal;;;;;;
3211;344;river;0;Leiria - Setúbal;;;;;;
336;344;river;0;Lisboa - Setúbal;;;;;;
335;3209;river;0;Porto - Aveiro;;;;;;
335;3208;river;0;Porto - Viseu;;;;;;
3207;3208;river;0;Vila Real - Viseu;;;;;;
3207;7118;river;0;Vila Real - Bejar;;;;;;
7166;7118;river;0;Bragança - Bejar;;;;;;
7166;962;river;0;Bragança - Salamanca;;;;;;
3181;962;river;0;Zamora - Salamanca;;;;;;
339;962;river;0;Valladolid - Salamanca;;;;;;
339;7117;river;0;Valladolid - Medina del Campo;;;;;;
339;961;river;0;Valladolid - Segovia;;;;;;
7115;961;river;0;Aranda de Duero - Segovia;;;;;;
356;7110;river;0;Tarragona - Amposta;;;;;;
537;7110;river;0;Lérida - Amposta;;;;;;
537;7112;river;0;Lérida - Maella;;;;;;
7113;7112;river;0;Fraga - Maella;;;;;;
7114;7112;river;0;Monzón - Maella;;;;;;
7114;3187;river;0;Monzón - Alcaniz;;;;;;
7114;330;river;0;Monzón - Zaragoza;;;;;;
329;330;river;0;Huesca - Zaragoza;;;;;;
3185;330;river;0;Tudela - Zaragoza;;;;;;
3185;2243;river;0;Tudela - Logroño;;;;;;
3184;2243;river;0;Vitoria - Logroño;;;;;;
7127;326;river;0;San Sebastian - Bayonne;;;;;;
;;;;;;;;;;
# France;;;;;;;;;;
328;3143;river;0;Foix - Tarbes;;;;;;
3144;3143;river;0;Colomiers - Tarbes;;;;;;
3144;359;river;0;Colomiers - Toulouse;;;;;;
3147;3141;river;0;Rodez - Albi;;;;;;
324;3141;river;0;Montauban - Albi;;;;;;
324;359;river;0;Montauban - Toulouse;;;;;;
3146;359;river;0;Cahors - Toulouse;;;;;;
3146;3144;river;0;Cahors - Colomiers;;;;;;
3146;327;Impassable;0;Cahors - Auch;;;;;;
3146;322;Impassable;0;Cahors - Périgueux;;;;;;
3146;3152;river;0;Cahors - Brive-la-Gaillarde;;;;;;
3145;327;river;0;Agen - Auch;;;;;;
3145;59;river;0;Agen - Bordeaux;;;;;;
3145;6527;river;0;Agen - Libourne;;;;;;
3145;322;river;0;Agen - Périgueux;;;;;;
3145;6556;river;0;Agen - Riberac;;;;;;
6527;59;river;0;Libourne - Bordeaux;;;;;;
35;3156;river;0;Nantes - Reze;;;;;;
35;3155;river;0;Nantes - Cholet;;;;;;
3162;3155;river;0;Angers - Cholet;;;;;;
3162;60;Impassable;0;Angers - Poitiers;;;;;;
3163;60;river;0;Blois - Poitiers;;;;;;
3163;58;river;0;Blois - Tours;;;;;;
3163;61;river;0;Blois - Bourges;;;;;;
58;60;river;0;Tours - Poitiers;;;;;;
320;60;river;0;Châteauroux - Poitiers;;;;;;
320;3154;river;0;Châteauroux - Niort;;;;;;
321;3153;river;0;Limoges - Angouleme;;;;;;
321;6556;river;0;Limoges - Riberac;;;;;;
321;322;river;0;Limoges - Périgueux;;;;;;
321;3152;river;0;Limoges - Brive-la-Gaillarde;;;;;;
62;61;river;0;Orléans - Bourges;;;;;;
318;61;river;0;Auxerre - Bourges;;;;;;
3169;61;river;0;Moulins - Bourges;;;;;;
3169;3151;river;0;Moulins - Saint-Amand-Montrond;;;;;;
3136;3151;river;0;Roanne - Saint-Amand-Montrond;;;;;;
360;3151;Impassable;0;Vichy - Saint-Amand-Montrond;;;;;;
361;360;river;0;Clermont-Ferrand - Vichy;;;;;;
3148;360;river;0;Aurillac - Vichy;;;;;;
3148;3149;river;0;Aurillac - Le-Puy-en-Velay;;;;;;
3140;3149;river;0;Mende - Le-Puy-en-Velay;;;;;;
3169;318;river;0;Moulins - Auxerre;;;;;;
3169;3168;river;0;Moulins - Autun;;;;;;
3169;529;Impassable;0;Moulins - Lyon;;;;;;
3136;529;river;0;Roanne - Lyon;;;;;;
3136;319;river;0;Roanne - Saint-Étienne;;;;;;
360;319;river;0;Vichy - Saint-Étienne;;;;;;
363;364;river;0;Nîmes - Marseille;;;;;;
363;528;river;0;Nîmes - Avignon;;;;;;
364;528;river;0;Marseille - Avignon;;;;;;
365;528;river;0;Toulon - Avignon;;;;;;
3134;528;river;0;Digne-les-Bains - Avignon;;;;;;
3134;3135;river;0;Digne-les-Bains - Gap;;;;;;
3139;528;Impassable;0;Privas - Avignon;;;;;;
3139;2626;river;0;Privas - Valence;;;;;;
319;2626;Impassable;0;Saint-Étienne - Valence;;;;;;
319;527;river;0;Saint-Étienne - Grenoble;;;;;;
529;527;river;0;Lyon - Grenoble;;;;;;
1676;527;river;0;Bourg-en-Bresse - Grenoble;;;;;;
1676;529;river;0;Bourg-en-Bresse - Lyon;;;;;;
1676;3168;river;0;Bourg-en-Bresse - Autun;;;;;;
1643;316;Impassable;0;Besançon - Malhous;;;;;;
1643;3168;Impassable;0;Besançon - Autun;;;;;;
1643;2557;river;0;Besançon - Dijon;;;;;;
1643;3171;river;0;Besançon - Champlitte;;;;;;
3138;527;river;0;Oyonnax - Grenoble;;;;;;
3138;3137;river;0;Oyonnax - Chambery;;;;;;
3138;2509;river;0;Oyonnax - Annecy;;;;;;
3170;2509;river;0;Pontarlier - Annecy;;;;;;
530;2509;river;0;Geneve - Annecy;;;;;;
3213;2509;river;0;Lausanne - Annecy;;;;;;
41;2555;river;0;Le Havre - Évreux;;;;;;
3175;2555;river;0;Rouen - Évreux;;;;;;
3175;3164;Impassable;0;Rouen - Versailles;;;;;;
56;3164;river;0;Paris - Versailles;;;;;;
56;3165;river;0;Paris - Creteil;;;;;;
54;3165;river;0;Compiegne - Creteil;;;;;;
54;63;river;0;Compiegne - Troyes;;;;;;
55;63;river;0;Reims - Troyes;;;;;;
55;2514;river;0;Reims - Chaumont;;;;;;
64;2514;river;0;Bar-le-Duc - Chaumont;;;;;;
3171;2514;river;0;Champlitte - Chaumont;;;;;;
3165;3164;river;0;Creteil - Versailles;;;;;;
3165;3166;river;0;Creteil - Sens;;;;;;
63;3166;river;0;Troyes - Sens;;;;;;
2514;3166;river;0;Chaumont - Sens;;;;;;
2514;3167;river;0;Chaumont - Migennes;;;;;;
317;1022;river;0;Épinal - Nancy;;;;;;
317;64;river;0;Épinal - Bar-le-Duc;;;;;;
841;1022;river;0;Verdun - Nancy;;;;;;
841;64;river;0;Verdun - Bar-le-Duc;;;;;;
841;72;river;0;Verdun - Metz;;;;;;
3172;72;river;0;Longwy - Metz;;;;;;
3172;64;river;0;Longwy - Bar-le-Duc;;;;;;
3172;3173;river;0;Longwy - Charleville-Mezieres;;;;;;
52;45;river;0;;;;;;;
6521;49;river;0;;;;;;;
51;44;normal;0;;;;;;;
;;;;;;;;;;
# Belgium-France - Netherlands - Germany;;;;;;;;;;
44;45;river;0;Lille - Brugge;;;;;;
52;45;river;0;Mons - Brugge;;;;;;
51;45;river;0;Brussel - Brugge;;;;;;
50;45;river;0;Antwerpen - Brugge;;;;;;
50;7043;river;0;Antwerpen - Terneuzen;;;;;;
50;48;river;0;Antwerpen - Middelburg;;;;;;
49;48;river;0;Eindhoven - Middelburg;;;;;;
3172;52;river;0;Longwy - Mons;;;;;;
7044;65;river;0;Dinant - Namur;;;;;;
68;65;river;0;Liège - Namur;;;;;;
1082;65;river;0;Maastricht - Namur;;;;;;
1082;69;river;0;Maastricht - Hasselt;;;;;;
1082;49;river;0;Maastricht - Eindhoven;;;;;;
1019;49;river;0;Nijmegen - Eindhoven;;;;;;
3172;71;river;0;Longwy - Lëtzebuerg;;;;;;
72;71;river;0;Metz - Lëtzebuerg;;;;;;
1016;71;river;0;Koblenz - Lëtzebuerg;;;;;;
1016;1018;river;0;Koblenz - Trier;;;;;;
1016;1904;river;0;Koblenz - Neuwied;;;;;;
1016;313;river;0;Koblenz - Frankfurt am Main;;;;;;
1016;1015;river;0;Koblenz - Mainz;;;;;;
1016;7189;river;0;Koblenz - Ludwigshafen am Rhein;;;;;;
1015;313;river;0;Mainz - Frankfurt am Main;;;;;;
970;313;river;0;Darmstadt - Frankfurt am Main;;;;;;
970;1015;river;0;Darmstadt - Mainz;;;;;;
970;2627;river;0;Darmstadt - Fulda;;;;;;
970;547;river;0;Darmstadt - Würzburg;;;;;;
1014;547;river;0;Karlsruhe - Würzburg;;;;;;
312;547;river;0;Nürnberg - Würzburg;;;;;;
970;7189;river;0;Darmstadt - Ludwigshafen am Rhein;;;;;;
1014;7189;river;0;Karlsruhe - Ludwigshafen am Rhein;;;;;;
3250;7189;river;0;Baden-Baden - Ludwigshafen am Rhein;;;;;;
3250;73;river;0;Baden-Baden - Strasbourg;;;;;;
315;73;river;0;Freiburg im Breisgau - Strasbourg;;;;;;
315;316;river;0;Freiburg im Breisgau - Mulhouse;;;;;;
315;3216;river;0;Freiburg im Breisgau - Basel;;;;;;
315;533;river;0;Freiburg im Breisgau - Zürich;;;;;;
373;533;river;0;Bregenz - Zürich;;;;;;
2273;533;river;0;Vaduz - Zürich;;;;;;
1018;1904;river;0;Trier - Neuwied;;;;;;
1018;76;river;0;Trier - Düsseldorf;;;;;;
75;76;river;0;Köln - Düsseldorf;;;;;;
6521;76;river;0;Krefeld - Düsseldorf;;;;;;
6521;67;river;0;Krefeld - Essen;;;;;;
67;76;river;0;Essen - Düsseldorf;;;;;;
6521;77;river;0;Krefeld - Arnhem;;;;;;
1019;77;river;0;Nijmegen - Arnhem;;;;;;
1019;46;river;0;Nijmegen - Rotterdam;;;;;;
;;;;;;;;;;
# Italy;;;;;;;;;;
6546;512;river;0;Padova - Bologna;;;;;;
6546;3219;river;0;Padova - Modena;;;;;;
379;3219;river;0;Mantova - Modena;;;;;;
379;369;river;0;Mantova - Parma;;;;;;
370;369;river;0;Milano - Parma;;;;;;
370;2399;river;0;Milano - Alessandria;;;;;;
370;2870;river;0;Milano - Novara;;;;;;
6547;2870;river;0;Como - Novara;;;;;;
2399;2870;river;0;Alessandria - Novara;;;;;;
3218;2870;river;0;Cuneo - Novara;;;;;;
3218;531;river;0;Cuneo - Torino;;;;;;
515;519;river;0;Roma - Latina;;;;;;
515;6553;river;0;Roma - Tivoli;;;;;;
515;6552;river;0;Roma - Terni;;;;;;
516;6552;river;0;Perugia - Terni;;;;;;
;;;;;;;;;;
# Danube; Germany+Austria+Hungary;;;;;;;;;
989;2597;river;0;Friedrichshafen - Tübingen;;;;;;
989;3251;river;0;Friedrichshafen - Schwäbisch Hall;;;;;;
374;3251;river;0;Augsburg - Schwäbisch Hall;;;;;;
374;3249;river;0;Augsburg - Ingolstadt;;;;;;
376;3249;river;0;München - Ingolstadt;;;;;;
376;375;river;0;München - Regensburg;;;;;;
85;375;river;0;Landshut - Regensburg;;;;;;
85;3248;river;0;Landshut - Passau;;;;;;
2327;3248;river;0;Linz - Passau;;;;;;
2327;465;river;0;Linz - Freistadt;;;;;;
2327;2328;river;0;Linz - Sankt Pölten;;;;;;
2327;460;river;0;Linz - Leoben;;;;;;
2328;465;river;0;Sankt Pölten - Freistadt;;;;;;
2328;464;river;0;Sankt Pölten - Hollabrunn;;;;;;
463;464;river;0;Wien - Hollabrunn;;;;;;
476;464;river;0;Bratislava - Hollabrunn;;;;;;
476;467;river;0;Bratislava - Znojmo;;;;;;
476;475;river;0;Bratislava - Brno;;;;;;
474;475;river;0;Ostrava - Brno;;;;;;
476;463;river;0;Bratislava - Wien;;;;;;
476;2329;river;0;Bratislava - Eisenstadt;;;;;;
1889;2329;river;0;Komárno - Eisenstadt;;;;;;
1889;3235;river;0;Komárno - Sopron;;;;;;
1889;2447;river;0;Komárno - Gyor;;;;;;
2616;2447;river;0;Eger - Gyor;;;;;;
457;2447;river;0;Budapest - Gyor;;;;;;
457;458;river;0;Budapest - Székesfehérvár;;;;;;
3236;458;river;0;Kecskemet - Székesfehérvár;;;;;;
492;458;river;0;Szeged - Székesfehérvár;;;;;;
6514;458;river;0;Baja - Székesfehérvár;;;;;;
6514;456;river;0;Baja - Pécs;;;;;;
6514;3363;river;0;Baja - Beli Manastir;;;;;;
3369;3363;river;0;Subotica - Beli Manastir;;;;;;
3369;3364;river;0;Subotica - Vukovar;;;;;;
493;3364;river;0;Novi Sad - Vukovar;;;;;;
493;1897;river;0;Novi Sad - Ruma;;;;;;
3375;461;river;0;Villach - Klagenfurt;;;;;;
3217;461;river;0;Graz - Klagenfurt;;;;;;
3217;459;river;0;Graz - Maribor;;;;;;
3217;7122;river;0;Graz - Celje;;;;;;
2289;7122;river;0;Murska Sobota - Celje;;;;;;
2289;6561;river;0;Murska Sobota - Cakovec;;;;;;
382;6561;river;0;Zagreb - Cakovec;;;;;;
455;6561;river;0;Bjelovar - Cakovec;;;;;;
224;6561;river;0;Zalaegerszeg - Cakovec;;;;;;
224;455;river;0;Zalaegerszeg - Bjelovar;;;;;;
6513;455;river;0;Kaposvar - Bjelovar;;;;;;
456;455;river;0;Pécs - Bjelovar;;;;;;
456;454;river;0;Pécs - Osijek;;;;;;
3363;454;river;0;Beli Manastir - Osijek;;;;;;
3363;3364;river;0;Beli Manastir - Vukovar;;;;;;
6560;380;river;0;Kranj - Ljubljana;;;;;;
7122;380;river;0;Celje - Ljubljana;;;;;;
7122;291;river;0;Celje - Karlovac;;;;;;
382;291;river;0;Zagreb - Karlovac;;;;;;
455;291;river;0;Bjelovar - Karlovac;;;;;;
455;3361;river;0;Bjelovar - Petrinja;;;;;;
3362;3361;river;0;Daruvar - Petrinja;;;;;;
6538;3361;river;0;Prijedor - Petrinja;;;;;;
3362;6538;river;0;Daruvar - Prijedor;;;;;;
3365;6538;river;0;Slavonski Brod - Prijedor;;;;;;
3365;3367;river;0;Slavonski Brod - Brcko;;;;;;
1897;3367;river;0;Ruma - Brcko;;;;;;
1897;1892;river;0;Ruma - Bijeljina;;;;;;
1897;1895;river;0;Ruma - Sabac;;;;;;
1895;1892;river;0;Sabac - Bijeljina;;;;;;
452;1892;river;0;Uzice - Bijeljina;;;;;;
452;6535;river;0;Uzice - Pale;;;;;;
1897;453;river;0;Ruma - Beograd;;;;;;
1897;3370;river;0;Ruma - Pancevo;;;;;;
3370;453;river;0;Pancevo - Beograd;;;;;;
3370;7268;river;0;Pancevo - Smederevo;;;;;;
3370;6557;river;0;Pancevo - Pozarevac;;;;;;
2602;6557;river;0;Resita - Pozarevac;;;;;;
2602;1057;river;0;Resita - Zajecar;;;;;;
6512;1057;river;0;Lugoj - Zajecar;;;;;;
7051;1057;river;0;Toplet - Zajecar;;;;;;
2603;1057;river;0;Turnu Severin - Zajecar;;;;;;
2603;6506;river;0;Turnu Severin - Vidin;;;;;;
426;6506;river;0;Craiova - Vidin;;;;;;
426;419;river;0;Craiova - Vraca;;;;;;
426;420;river;0;Craiova - Pleven;;;;;;
426;3380;river;0;Craiova - Pitesti;;;;;;
426;425;river;0;Craiova - Giurgiu;;;;;;
3379;3380;river;0;Ramnicu Valcea - Pitesti;;;;;;
3379;3381;river;0;Ramnicu Valcea - Targoviste;;;;;;
7051;3381;river;0;Toplet - Targoviste;;;;;;
7051;7052;river;0;Toplet - Predeal;;;;;;
7051;3382;river;0;Toplet - Brasov;;;;;;
430;3382;river;0;Sibiu - Brasov;;;;;;
425;420;river;0;Giurgiu - Pleven;;;;;;
425;1911;river;0;Giurgiu - Ruse;;;;;;
425;423;river;0;Giurgiu - Bazargic;;;;;;
2450;423;river;0;Calarasi - Bazargic;;;;;;
2450;3055;river;0;Calarasi - Mangalia;;;;;;
2450;436;river;0;Calarasi - Constanta;;;;;;
432;2449;river;0;Braila - Tulcea;;;;;;
435;2449;river;0;Ismail - Tulcea;;;;;;
6511;2449;river;0;Sulina - Tulcea;;;;;;
435;6511;river;0;Ismail - Sulina;;;;;;
435;2604;river;0;Ismail - Galati;;;;;;
432;2604;river;0;Braila - Galati;;;;;;
2449;2604;river;0;Tulcea - Galati;;;;;;
2605;2604;river;0;Cahul - Galati;;;;;;
429;2604;river;0;Bacau - Galati;;;;;;
2605;433;river;0;Cahul - Iasi;;;;;;
429;433;river;0;Bacau - Iasi;;;;;;
434;433;river;0;Chisinau - Iasi;;;;;;
230;433;river;0;Balti - Iasi;;;;;;
3387;433;river;0;Piatra Neamt - Iasi;;;;;;
3387;3388;river;0;Piatra Neamt - Botosani;;;;;;
230;3388;river;0;Balti - Botosani;;;;;;
1402;3388;river;0;Suceava - Botosani;;;;;;
7268;6557;river;0;Smederevo - Pozarevac;;;;;;
3371;6557;river;0;Kragujevac - Pozarevac;;;;;;
3371;451;river;0;Kragujevac - Nis;;;;;;
1896;451;river;0;Krusevac - Nis;;;;;;
1896;1168;river;0;Krusevac - Pirot;;;;;;
1897;494;river;0;Ruma - Petrovgrad;;;;;;
493;494;river;0;Novi Sad - Petrovgrad;;;;;;
3369;494;river;0;Subotica - Petrovgrad;;;;;;
3369;7072;river;0;Subotica - Hódmezovasarhely;;;;;;
494;7072;river;0;Petrovgrad - Hódmezovasarhely;;;;;;
495;7072;river;0;Timisoara - Hódmezovasarhely;;;;;;
495;1890;river;0;Timisoara - Békéscsaba;;;;;;
495;496;river;0;Timisoara - Arad;;;;;;
495;7054;river;0;Timisoara - Beius;;;;;;
6512;7054;river;0;Lugoj - Beius;;;;;;
6512;427;river;0;Lugoj - Alba Iulia;;;;;;
1449;427;river;0;Deva - Alba Iulia;;;;;;
430;427;river;0;Sibiu - Alba Iulia;;;;;;
430;7300;river;0;Sibiu - Turda;;;;;;
6514;7072;river;0;Baja - Hódmezovasarhely;;;;;;
492;7072;river;0;Szeged - Hódmezovasarhely;;;;;;
3236;7072;river;0;Kecskemet - Hódmezovasarhely;;;;;;
2616;7072;river;0;Eger - Hódmezovasarhely;;;;;;
2616;497;river;0;Eger - Debrecen;;;;;;
491;497;river;0;Miskolc - Debrecen;;;;;;
491;3237;river;0;Miskolc - Nyiregyhaza;;;;;;
2302;3237;river;0;Uzhorod - Nyiregyhaza;;;;;;
2302;3384;river;0;Uzhorod - Satu Mare;;;;;;
499;3384;river;0;Chust - Satu Mare;;;;;;
;;;;;;;;;;
# Croatia;;;;;;;;;;
1891;1893;river;0;Bihac - Gracac;;;;;;
3368;1893;river;0;Drvar - Gracac;;;;;;
3366;1893;river;0;Knin - Gracac;;;;;;
6559;1893;river;0;Benkovac - Gracac;;;;;;
6559;3360;river;0;Benkovac - Senj;;;;;;
;;;;;;;;;;
# Albania;;;;;;;;;;
665;7961;river;0;Shkodër - Kukës;;;;;;
665;5466;river;0;Shkodër - Durres;;;;;;
;;;;;;;;;;
# Greece; Serbia; Bulgaria; Turkey;;;;;;;
395;7318;river;0;Korinthos - Livadeia;;;;;;
416;414;river;0;Gorna Dzhumaya - Stip;;;;;;
416;3397;river;0;Gorna Dzhumaya - Strumica;;;;;;
416;411;river;0;Gorna Dzhumaya - Kilkis;;;;;;
410;411;river;0;Kavala - Kilkis;;;;;;
417;421;river;0;Sofia - Plovdiv;;;;;;
3353;421;river;0;Stara Zagora - Plovdiv;;;;;;
6510;421;river;0;Yambol - Plovdiv;;;;;;
6510;2323;river;0;Yambol - Smolyan;;;;;;
6510;2321;river;0;Yambol - Orestiada;;;;;;
2322;2321;river;0;Edirne - Orestiada;;;;;;
3398;2321;river;0;Enez - Orestiada;;;;;;
3398;7352;river;0;Enez - Soufli;;;;;;
;;;;;;;;;;
# Germany; river Weser;;;;;;;;;
547;84;river;0;Würzburg - Suhl;;;;;;
2627;84;river;0;Fulda - Suhl;;;;;;
82;84;river;0;Kassel - Suhl;;;;;;
82;3242;river;0;Kassel - Erfurt;;;;;;
82;3254;river;0;Kassel - Göttingen;;;;;;
7185;3254;river;0;Paderborn - Göttingen;;;;;;
