#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;Extra1;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;==========;==========;X
#AI.txt;;;;;;;;;;;X
EVT_2400151_NAME;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;;;X
EVT_2400073_ACTB;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;;;X
EVT_2400074_NAME;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;;;X
EVT_2400074_DESC;Attention: We have just received news that another nation has developed nuclear weapons! Our attempts to keep the new technology to ourselves have failed, and we must now focus on containing the proliferation of this dangerous weaponry. ;Attention: We have just received news that another nation has developed nuclear weapons! Our attempts to keep the new technology to ourselves have failed, and we must now focus on containing the proliferation of this dangerous weaponry. ;Attention: We have just received news that another nation has developed nuclear weapons! Our attempts to keep the new technology to ourselves have failed, and we must now focus on containing the proliferation of this dangerous weaponry. ;Attention: We have just received news that another nation has developed nuclear weapons! Our attempts to keep the new technology to ourselves have failed, and we must now focus on containing the proliferation of this dangerous weaponry. ;Attention: We have just received news that another nation has developed nuclear weapons! Our attempts to keep the new technology to ourselves have failed, and we must now focus on containing the proliferation of this dangerous weaponry. ;Attention: We have just received news that another nation has developed nuclear weapons! Our attempts to keep the new technology to ourselves have failed, and we must now focus on containing the proliferation of this dangerous weaponry. ;Attention: We have just received news that another nation has developed nuclear weapons! Our attempts to keep the new technology to ourselves have failed, and we must now focus on containing the proliferation of this dangerous weaponry. ;Attention: We have just received news that another nation has developed nuclear weapons! Our attempts to keep the new technology to ourselves have failed, and we must now focus on containing the proliferation of this dangerous weaponry. ;;;X
EVT_2400074_ACTA;At least we can hit them back!;At least we can hit them back!;At least we can hit them back!;At least we can hit them back!;At least we can hit them back!;At least we can hit them back!;At least we can hit them back!;At least we can hit them back!;;;X
EVT_2400074_ACTB;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;Don't show me the nuke warnings again;;;X
EVT_2400075_NAME;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;;;X
EVT_2400075_DESC;The news of our latest discovery has been leaked out to the world. Nations around the globe are watching anxiously for our next steps. ;The news of our latest discovery has been leaked out to the world. Nations around the globe are watching anxiously for our next steps. ;The news of our latest discovery has been leaked out to the world. Nations around the globe are watching anxiously for our next steps. ;The news of our latest discovery has been leaked out to the world. Nations around the globe are watching anxiously for our next steps. ;The news of our latest discovery has been leaked out to the world. Nations around the globe are watching anxiously for our next steps. ;The news of our latest discovery has been leaked out to the world. Nations around the globe are watching anxiously for our next steps. ;The news of our latest discovery has been leaked out to the world. Nations around the globe are watching anxiously for our next steps. ;The news of our latest discovery has been leaked out to the world. Nations around the globe are watching anxiously for our next steps. ;;;X
EVT_2400075_ACTA;Let them tremble in fear!;Let them tremble in fear!;Let them tremble in fear!;Let them tremble in fear!;Let them tremble in fear!;Let them tremble in fear!;Let them tremble in fear!;Let them tremble in fear!;;;X
EVT_2400078_NAME;Disabling nukes;Disabling nukes;Disabling nukes;Disabling nukes;Disabling nukes;Disabling nukes;Disabling nukes;Disabling nukes;;;X
EVT_2400078_DESC;As we are no longer at war with any Great Power and there is no meaningful threat to our sovereignty and survival, the use of nuclear weapons is now politically impossible.;As we are no longer at war with any Great Power and there is no meaningful threat to our sovereignty and survival, the use of nuclear weapons is now politically impossible.;As we are no longer at war with any Great Power and there is no meaningful threat to our sovereignty and survival, the use of nuclear weapons is now politically impossible.;As we are no longer at war with any Great Power and there is no meaningful threat to our sovereignty and survival, the use of nuclear weapons is now politically impossible.;As we are no longer at war with any Great Power and there is no meaningful threat to our sovereignty and survival, the use of nuclear weapons is now politically impossible.;As we are no longer at war with any Great Power and there is no meaningful threat to our sovereignty and survival, the use of nuclear weapons is now politically impossible.;As we are no longer at war with any Great Power and there is no meaningful threat to our sovereignty and survival, the use of nuclear weapons is now politically impossible.;As we are no longer at war with any Great Power and there is no meaningful threat to our sovereignty and survival, the use of nuclear weapons is now politically impossible.;;;X
EVT_2400079_NAME;Enabling nukes;Enabling nukes;Enabling nukes;Enabling nukes;Enabling nukes;Enabling nukes;Enabling nukes;Enabling nukes;;;X
EVT_2400079_DESC;As we are now at war with other Great Powers, we can make the argument that there is a serious threat to our sovereignty and survival, and as such, the use of nuclear weapons is now permissible again.;As we are now at war with other Great Powers, we can make the argument that there is a serious threat to our sovereignty and survival, and as such, the use of nuclear weapons is now permissible again.;As we are now at war with other Great Powers, we can make the argument that there is a serious threat to our sovereignty and survival, and as such, the use of nuclear weapons is now permissible again.;As we are now at war with other Great Powers, we can make the argument that there is a serious threat to our sovereignty and survival, and as such, the use of nuclear weapons is now permissible again.;As we are now at war with other Great Powers, we can make the argument that there is a serious threat to our sovereignty and survival, and as such, the use of nuclear weapons is now permissible again.;As we are now at war with other Great Powers, we can make the argument that there is a serious threat to our sovereignty and survival, and as such, the use of nuclear weapons is now permissible again.;As we are now at war with other Great Powers, we can make the argument that there is a serious threat to our sovereignty and survival, and as such, the use of nuclear weapons is now permissible again.;As we are now at war with other Great Powers, we can make the argument that there is a serious threat to our sovereignty and survival, and as such, the use of nuclear weapons is now permissible again.;;;X
EVT_2400080_NAME;Disaster!;Disaster!;Disaster!;Disaster!;Disaster!;Disaster!;Disaster!;Disaster!;;;X
EVT_2400080_DESC;ATTENTION: Without a provocation, we have used a nuclear weapon against a country which posed no imminent threat to us. The other nations of the world, and even our own public, are absolutely appalled by our reckless and inhuman behavior. We can only use nukes against non-puppet countries with over 100 belligerence without suffering penalties. The only exception is if we have been nuked ourselves.;ATTENTION: Without a provocation, we have used a nuclear weapon against a country which posed no imminent threat to us. The other nations of the world, and even our own public, are absolutely appalled by our reckless and inhuman behavior. We can only use nukes against non-puppet countries with over 100 belligerence without suffering penalties. The only exception is if we have been nuked ourselves.;ATTENTION: Without a provocation, we have used a nuclear weapon against a country which posed no imminent threat to us. The other nations of the world, and even our own public, are absolutely appalled by our reckless and inhuman behavior. We can only use nukes against non-puppet countries with over 100 belligerence without suffering penalties. The only exception is if we have been nuked ourselves.;ATTENTION: Without a provocation, we have used a nuclear weapon against a country which posed no imminent threat to us. The other nations of the world, and even our own public, are absolutely appalled by our reckless and inhuman behavior. We can only use nukes against non-puppet countries with over 100 belligerence without suffering penalties. The only exception is if we have been nuked ourselves.;ATTENTION: Without a provocation, we have used a nuclear weapon against a country which posed no imminent threat to us. The other nations of the world, and even our own public, are absolutely appalled by our reckless and inhuman behavior. We can only use nukes against non-puppet countries with over 100 belligerence without suffering penalties. The only exception is if we have been nuked ourselves.;ATTENTION: Without a provocation, we have used a nuclear weapon against a country which posed no imminent threat to us. The other nations of the world, and even our own public, are absolutely appalled by our reckless and inhuman behavior. We can only use nukes against non-puppet countries with over 100 belligerence without suffering penalties. The only exception is if we have been nuked ourselves.;ATTENTION: Without a provocation, we have used a nuclear weapon against a country which posed no imminent threat to us. The other nations of the world, and even our own public, are absolutely appalled by our reckless and inhuman behavior. We can only use nukes against non-puppet countries with over 100 belligerence without suffering penalties. The only exception is if we have been nuked ourselves.;ATTENTION: Without a provocation, we have used a nuclear weapon against a country which posed no imminent threat to us. The other nations of the world, and even our own public, are absolutely appalled by our reckless and inhuman behavior. We can only use nukes against non-puppet countries with over 100 belligerence without suffering penalties. The only exception is if we have been nuked ourselves.;;;X
EVT_2400080_ACTA;Oops…;Oops…;Oops…;Oops…;Oops…;Oops…;Oops…;Oops…;;;X
EVT_2401001_NAME;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;;;X
EVT_2401001_DESC;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;Enabling strategic redeployment;;;X
EVT_2401421_NAME;Soviet Supply;Soviet Supply;Soviet Supply;Soviet Supply;Soviet Supply;Soviet Supply;Soviet Supply;Soviet Supply;;;X
EVT_2401421_DESC;The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);;;X
EVT_2401423_NAME;Soviet Supply Withdrawn;Soviet Supply Withdrawn;Soviet Supply Withdrawn;Soviet Supply Withdrawn;Soviet Supply Withdrawn;Soviet Supply Withdrawn;Soviet Supply Withdrawn;Soviet Supply Withdrawn;;;X
EVT_2401423_DESC;The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);The Allies have been able to smuggle in a number of supplies into the liberated territory, including by use of air bases controlled by our forces. (This will only fire if the USSR is AI and is basing aircraft in partisan territory, since there is no way to tell AI that this is a terrible idea);;;X
EVT_2401510_NAME;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;;;X
EVT_2401510_DESC;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;;;X
EVT_2401511_NAME;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;Reinforce the Levant;;;X
EVT_2401511_DESC;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;Levant is under threat of attack by the enemy. We can choose to send extra help to preserve our presense in the region.;;;X
EVT_2401512_NAME;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;;;X
EVT_2401512_DESC;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;;;X
EVT_2401513_NAME;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;End aid to the Levant;;;X
EVT_2401513_DESC;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;We can withdraw the aid we are currently sending to the Levant;;;X
#Bulgaria.txt;;;;;;;;;;;X
EVT_2020100_ACTA;Side with Bulgaria;Side with Bulgaria;Side with Bulgaria;Side with Bulgaria;Side with Bulgaria;Side with Bulgaria;Side with Bulgaria;Side with Bulgaria;;;X
EVT_2020100_ACTB;Side with Romania;Side with Romania;Side with Romania;Side with Romania;Side with Romania;Side with Romania;Side with Romania;Side with Romania;;;X
EVT_2020002_NAME;Germany rules in Romanian favor;Germany rules in Romanian favor;Germany rules in Romanian favor;Germany rules in Romanian favor;Germany rules in Romanian favor;Germany rules in Romanian favor;Germany rules in Romanian favor;Germany rules in Romanian favor;;;X
EVT_2020002_DESC;Despite our please, Germany refused to support our claims to Southern Dobruja;Despite our please, Germany refused to support our claims to Southern Dobruja;Despite our please, Germany refused to support our claims to Southern Dobruja;Despite our please, Germany refused to support our claims to Southern Dobruja;Despite our please, Germany refused to support our claims to Southern Dobruja;Despite our please, Germany refused to support our claims to Southern Dobruja;Despite our please, Germany refused to support our claims to Southern Dobruja;Despite our please, Germany refused to support our claims to Southern Dobruja;;;X
EVT_2020002_ACTA;Bastards!;Bastards!;Bastards!;Bastards!;Bastards!;Bastards!;Bastards!;Bastards!;;;X
EVT_2020002_ACTB;Then we shall take it by force!;Then we shall take it by force!;Then we shall take it by force!;Then we shall take it by force!;Then we shall take it by force!;Then we shall take it by force!;Then we shall take it by force!;Then we shall take it by force!;;;X
EVT_2020004_NAME;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;;;X
EVT_2020004_DESC;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. This passive neutrality eventually helped Bulgaria secure a relatively favorable post-war treatment and even to retain some of its territorial gains after the war ended.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. This passive neutrality eventually helped Bulgaria secure a relatively favorable post-war treatment and even to retain some of its territorial gains after the war ended.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. This passive neutrality eventually helped Bulgaria secure a relatively favorable post-war treatment and even to retain some of its territorial gains after the war ended.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. This passive neutrality eventually helped Bulgaria secure a relatively favorable post-war treatment and even to retain some of its territorial gains after the war ended.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. This passive neutrality eventually helped Bulgaria secure a relatively favorable post-war treatment and even to retain some of its territorial gains after the war ended.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. This passive neutrality eventually helped Bulgaria secure a relatively favorable post-war treatment and even to retain some of its territorial gains after the war ended.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. This passive neutrality eventually helped Bulgaria secure a relatively favorable post-war treatment and even to retain some of its territorial gains after the war ended.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. This passive neutrality eventually helped Bulgaria secure a relatively favorable post-war treatment and even to retain some of its territorial gains after the war ended.;;;X
EVT_2020004_ACTA;This is not our war;This is not our war;This is not our war;This is not our war;This is not our war;This is not our war;This is not our war;This is not our war;;;X
EVT_2020004_ACTB;Germany's victory is OUR victory!;Germany's victory is OUR victory!;Germany's victory is OUR victory!;Germany's victory is OUR victory!;Germany's victory is OUR victory!;Germany's victory is OUR victory!;Germany's victory is OUR victory!;Germany's victory is OUR victory!;;;X
EVT_2020006_NAME;Press on Bulgaria;Press on Bulgaria;Press on Bulgaria;Press on Bulgaria;Press on Bulgaria;Press on Bulgaria;Press on Bulgaria;Press on Bulgaria;;;X
EVT_2020006_DESC;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. However, given its participation in the Axis wars in the Balkans and official alliance to Germany, the Allies could not avoid treating Bulgaria as an enemy.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. However, given its participation in the Axis wars in the Balkans and official alliance to Germany, the Allies could not avoid treating Bulgaria as an enemy.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. However, given its participation in the Axis wars in the Balkans and official alliance to Germany, the Allies could not avoid treating Bulgaria as an enemy.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. However, given its participation in the Axis wars in the Balkans and official alliance to Germany, the Allies could not avoid treating Bulgaria as an enemy.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. However, given its participation in the Axis wars in the Balkans and official alliance to Germany, the Allies could not avoid treating Bulgaria as an enemy.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. However, given its participation in the Axis wars in the Balkans and official alliance to Germany, the Allies could not avoid treating Bulgaria as an enemy.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. However, given its participation in the Axis wars in the Balkans and official alliance to Germany, the Allies could not avoid treating Bulgaria as an enemy.;While Bulgaria joined the Anti-Comintern and the Tripartite pacts, it refused to lend any military assitance to Germany and did not declare war on the Soviet Union either. However, given its participation in the Axis wars in the Balkans and official alliance to Germany, the Allies could not avoid treating Bulgaria as an enemy.;;;X
EVT_2020006_ACTA;Punish the collaborators!;Punish the collaborators!;Punish the collaborators!;Punish the collaborators!;Punish the collaborators!;Punish the collaborators!;Punish the collaborators!;Punish the collaborators!;;;X
EVT_2020007_NAME;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;Bulgaria and the Axis;;;X
