;ENG;FRA;ITA;SPA;GER;POL;RUS;RUS;;;X;
PROV58;Tours;Tours;Tours;Tours;Tours;Tours;Тур;Тур;;;X;
PROV59;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Бордо;Бордо;;;X;
PROV60;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Пойтье;Пойтье;;;X;
PROV61;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;Бурже;Бурже;;;X;
PROV62;Orlйans;Orlйans;Orlйans;Orlйans;Orlйans;Orlйans;Орлеан;Орлеан;;;X;
PROV63;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;Труа;Труа;;;X;
PROV64;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Бар ле Дук;Бар ле Дук;;;X;
PROV65;Namur;Namur;Namur;Namur;Namur;Namur;Намюр;Намюр;;;X;
PROV66;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;Аахен;Аахен;;;X;
PROV67;Essen;Essen;Essen;Essen;Essen;Essen;Эссен;Эссен;;;X;
PROV68;Liиge;Liиge;Liиge;Liиge;Liиge;Liиge;Льеж;Льеж;;;X;
PROV69;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Хассельт;Хассельт;;;X;
PROV70;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;Арлон;Арлон;;;X;
PROV71;Lлtzebuerg;Lлtzebuerg;Lлtzebuerg;Lлtzebuerg;Lлtzebuerg;Lлtzebuerg;Lлtzebuerg;Люксембург;;;X;
PROV72;Metz;Metz;Metz;Metz;Metz;Metz;Мец;Мец;;;X;
PROV73;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Страсбург;Страсбург;;;X;
PROV74;Saarbrьcken;Saarbrьcken;Saarbrьcken;Saarbrьcken;Saarbrьcken;Saarbrьcken;Саарбрюкен;Саарбрюкен;;;X;
PROV75;Kцln;Kцln;Kцln;Kцln;Kцln;Kцln;Кельн;Кельн;;;X;
PROV76;Dьsseldorf;Dьsseldorf;Dьsseldorf;Dьsseldorf;Dьsseldorf;Dьsseldorf;Дюссельдорф;Дюссельдорф;;;X;
PROV77;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Арнем;Арнем;;;X;
PROV78;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;Гронинген;Гронинген;;;X;
PROV79;Enschede;Enschede;Enschede;Enschede;Enschede;Enschede;Enschede;Энсхеде;;;X;
PROV80;Emden;Emden;Emden;Emden;Emden;Emden;Эмден;Эмден;;;X;
PROV81;Mьnster;Mьnster;Mьnster;Mьnster;Mьnster;Mьnster;Мюнстер;Мюнстер;;;X;
PROV82;Kassel;Kassel;Kassel;Kassel;Kassel;Kassel;Кассель;Кассель;;;X;
PROV83;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Байрейт;Байройт;;;X;
PROV84;Suhl;Suhl;Suhl;Suhl;Suhl;Suhl;Suhl;Суль;;;X;
PROV85;Landshut;Landshut;Landshut;Landshut;Landshut;Landshut;Landshut;Ландсхут;;;X;
PROV86;Hannover;Hannover;Hannover;Hannover;Hannover;Hannover;Ганновер;Ганновер;;;X;
PROV87;Bremen;Bremen;Bremen;Bremen;Bremen;Bremen;Бремен;Бремен;;;X;
PROV88;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;Гамбург;Гамбург;;;X;
PROV89;Lьbeck;Lьbeck;Lьbeck;Lьbeck;Lьbeck;Lьbeck;Любек;Любек;;;X;
PROV90;Kiel;Kiel;Kiel;Kiel;Kiel;Kiel;Киль;Киль;;;X;
PROV91;Еbenrе;Еbenrе;Еbenrе;Еbenrе;Еbenrе;Еbenrе;Обенро;Обенро;;;X;
PROV92;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;Альборг;Ольборг;;;X;
PROV93;Malmц;Malmц;Malmц;Malmц;Malmц;Malmц;Мальмо;Мальмо;;;X;
PROV94;Podol'sk;Podol'sk;Podol'sk;Podol'sk;Podol'sk;Podol'sk;Подольск;Подольск;;;X;
PROV95;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Moіodeczno;Молодежное;Молодежное;;;X;
PROV96;Visby;Visby;Visby;Visby;Visby;Visby;Висбю;Висбю;;;X;
PROV97;Kalmar;Kalmar;Kalmar;Kalmar;Kalmar;Kalmar;Кальмар;Кальмар;;;X;
PROV98;Gцteborg;Gцteborg;Gцteborg;Gцteborg;Gцteborg;Gцteborg;Гётеборг;Гетеборг;;;X;
PROV99;Skцvde;Skцvde;Skцvde;Skцvde;Skцvde;Skцvde;Skцvde;Скевде;;;X;
PROV100;Linkцping;Linkцping;Linkцping;Linkцping;Linkцping;Linkцping;Linkцping;Линкепин;;;X;
PROV101;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;Стокгольм;Стокгольм;;;X;
PROV102;Wolkowysk;Wolkowysk;Wolkowysk;Wolkowysk;Wolkowysk;Woіkowysk;Волковыйск;Волковыйск;;;X;
PROV103;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Маарианамина;;;X;
PROV104;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;Фредрисктадт;Фредрисктадт;;;X;
PROV105;Цrebro;Цrebro;Цrebro;Цrebro;Цrebro;Цrebro;Еребро;Эребро;;;X;
PROV106;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;Карлстад;Карлстад;;;X;
PROV107;Oslo;Oslo;Oslo;Oslo;Oslo;Oslo;Осло;Осло;;;X;
PROV108;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Кристиансанн;Кристиансанн;;;X;
PROV109;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;Ставангер;Ставангер;;;X;
PROV110;Leikanger;Leikanger;Leikanger;Leikanger;Leikanger;Leikanger;Leikanger;Лейкангер;;;X;
PROV111;Hamar;Hamar;Hamar;Hamar;Hamar;Hamar;Хамар;Хамар;;;X;
PROV112;Drammen;Drammen;Drammen;Drammen;Drammen;Drammen;Драммен;Драммен;;;X;
PROV113;Gдvle;Gдvle;Gдvle;Gдvle;Gдvle;Gдvle;Евле;Евле;;;X;
PROV114;Arendal;Arendal;Arendal;Arendal;Arendal;Arendal;Арендал;Арендал;;;X;
PROV115;Falun;Falun;Falun;Falun;Falun;Falun;Фалун;Фалун;;;X;
PROV116;Lillehammer;Lillehammer;Lillehammer;Lillehammer;Lillehammer;Lillehammer;Лиллехаммер;Лиллехаммер;;;X;
PROV117;Molde;Molde;Molde;Molde;Molde;Molde;Мольде;Мольде;;;X;
PROV118;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;Трондхейм;Трондхейм;;;X;
PROV119;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Сундсвалль;Сундсвалль;;;X;
PROV120;Еrhus;Еrhus;Еrhus;Еrhus;Еrhus;Еrhus;Орхус;Орхус;;;X;
PROV121;Umeе;Umeе;Umeе;Umeе;Umeе;Umeе;Умео;Умео;;;X;
PROV122;Esbjerg;Esbjerg;Esbjerg;Esbjerg;Esbjerg;Esbjerg;Эсбьерг;Эсбьерг;;;X;
PROV123;Terijoki;Terijoki;Terijoki;Terijoki;Terijoki;Terijoki;Терийоки;Терийоки;;;X;
PROV124;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Бодо;Бодо;;;X;
PROV125;Tromso;Tromso;Tromso;Tromso;Tromso;Tromso;Тромсо;Тромсо;;;X;
PROV126;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;Кируна;Кируна;;;X;
PROV127;Luleе;Luleе;Luleе;Luleе;Luleе;Luleе;Лулео;Лулео;;;X;
PROV128;Alta;Alta;Alta;Alta;Alta;Alta;Альта;Альта;;;X;
PROV129;Bergen;Bergen;Bergen;Bergen;Bergen;Bergen;Берген;Берген;;;X;
PROV130;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Рованиеми;Рованиеми;;;X;
PROV131;Kemi;Kemi;Kemi;Kemi;Kemi;Kemi;Кеми;Кеми;;;X;
PROV132;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;Петсамо;Петсамо;;;X;
PROV133;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;Мурманск;Мурманск;;;X;
PROV134;Jokanga;Jokanga;Jokanga;Jokanga;Jokanga;Jokanga;Йоканга;Йоканга;;;X;
PROV135;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;Кандалакша;Кандалакша;;;X;
PROV136;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;Кайяни;Кайяни;;;X;
PROV137;Oulu;Oulu;Oulu;Oulu;Oulu;Oulu;Оулу;Оулу;;;X;
PROV138;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;Вааса;Вааса;;;X;
PROV139;Tampere;Tampere;Tampere;Tampere;Tampere;Tampere;Тампере;Тампере;;;X;
PROV140;Pori;Pori;Pori;Pori;Pori;Pori;Пори;Пори;;;X;
PROV141;Turku;Turku;Turku;Turku;Turku;Turku;Турку;Турку;;;X;
PROV142;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;Хельсинки;Хельсинки;;;X;
PROV143;Kuolajдrvi;Kuolajдrvi;Kuolajдrvi;Kuolajдrvi;Kuolajдrvi;Kuolajдrvi;Kuolajдrvi;Коувола;;;X;
PROV144;Lappenranta;Lappenranta;Lappenranta;Lappenranta;Lappenranta;Lappenranta;Лаппенранта;Лаппенранта;;;X;
PROV145;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;Виипури;Виипури;;;X;
PROV146;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;Сортавала;Сортавала;;;X;
PROV147;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;Куопио;Куопио;;;X;
PROV148;Lahti;Lahti;Lahti;Lahti;Lahti;Lahti;Лахти;Лахти;;;X;
PROV149;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;Йоэнсу;Йоэнсу;;;X;
PROV150;Kem';Kem';Kem';Kem';Kem';Kem';Кемь;Кемь;;;X;
PROV151;Segeza;Segeza;Segeza;Segeza;Segeza;Segeza;Сегежа;Сегежа;;;X;
PROV152;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Петрозаводск;Петрозаводск;;;X;
PROV153;Kirillov;Kirillov;Kirillov;Kirillov;Kirillov;Kirillov;Кириллов;Кириллов;;;X;
PROV154;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;Архангельск;Архангельск;;;X;
PROV155;Simferopol';Simferopol';Simferopol';Simferopol';Simferopol';Simferopol';Симферополь;Симферополь;;;X;
PROV156;Tambov;Tambov;Tambov;Tambov;Tambov;Tambov;Тамбов;Тамбов;;;X;
PROV157;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Борисоглебск;Борисоглебск;;;X;
PROV158;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ульяновск;Ульяновск;;;X;
PROV159;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;Суровкино;Суровкино;;;X;
PROV160;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;Урюпинск;Урюпинск;;;X;
PROV161;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;Каменец-Подольский;Каменец-Подольский;;;X;
PROV162;Majkop;Majkop;Majkop;Majkop;Majkop;Majkop;Майкоп;Майкоп;;;X;
PROV163;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Сталинград;Сталинград;;;X;
PROV164;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;Фролово;Фролово;;;X;
PROV165;Tot'ma;Tot'ma;Tot'ma;Tot'ma;Tot'ma;Tot'ma;Тотьма;Тотьма;;;X;
PROV166;Gor'kij;Gor'kij;Gor'kij;Gor'kij;Gor'kij;Gor'kij;Горький;Горький;;;X;
PROV167;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Иваново;Иваново;;;X;
PROV168;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;Арзамас;Арзамас;;;X;
PROV169;Sasovo;Sasovo;Sasovo;Sasovo;Sasovo;Sasovo;Сасово;Сасово;;;X;
PROV170;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Рыбинск;Рыбинск;;;X;
PROV171;Volodga;Volodga;Volodga;Volodga;Volodga;Volodga;Вологда;Вологда;;;X;
PROV172;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;Вытегда;Вытегда;;;X;
PROV173;Kimry;Kimry;Kimry;Kimry;Kimry;Kimry;Кимры;Кимры;;;X;
PROV174;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;Калинин;Калинин;;;X;
PROV175;Moskva;Moskva;Moskva;Moskva;Moskva;Moskva;Москва;Москва;;;X;
PROV176;Lobnja;Lobnja;Lobnja;Lobnja;Lobnja;Lobnja;Лобня;Лобня;;;X;
PROV177;Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';Ярославль;Ярославль;;;X;
PROV178;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;Владимир;Владимир;;;X;
PROV179;Murom;Murom;Murom;Murom;Murom;Murom;Муром;Муром;;;X;
PROV180;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Орехово-Зуево;Орехово-Зуево;;;X;
PROV181;Ljudinovo;Ljudinovo;Ljudinovo;Ljudinovo;Ljudinovo;Ljudinovo;Людиново;Людиново;;;X;
PROV182;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;Вязьма;Вязьма;;;X;
PROV183;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;Кестеньга;Кестеньга;;;X;
PROV184;Soroka;Soroka;Soroka;Soroka;Soroka;Soroka;Сорока;Сорока;;;X;
PROV185;Tihvin;Tihvin;Tihvin;Tihvin;Tihvin;Tihvin;Тихвин;Тихвин;;;X;
PROV186;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Красногвардейск;Красногвардейск;;;X;
PROV187;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;Ленинград;Петроград;;;X;
PROV188;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Кингисепп;Кингисепп;;;X;
PROV189;Kirisi;Kirisi;Kirisi;Kirisi;Kirisi;Kirisi;Кириши;Кириши;;;X;
PROV190;Borovici;Borovici;Borovici;Borovici;Borovici;Borovici;Боровичи;Боровичи;;;X;
PROV191;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;Старая Русса;Старая Русса;;;X;
PROV192;Gdov;Gdov;Gdov;Gdov;Gdov;Gdov;Гдов;Гдов;;;X;
PROV193;Narva;Narva;Narva;Narva;Narva;Narva;Нарва;Нарва;;;X;
PROV194;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Таллин;Таллин;;;X;
PROV195;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Курессааре;Курессааре;;;X;
PROV196;Pдrnu;Pдrnu;Pдrnu;Pдrnu;Pдrnu;Pдrnu;Пярну;Пярну;;;X;
PROV197;Riga;Riga;Riga;Riga;Riga;Riga;Рига;Рига;;;X;
PROV198;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;Вальмиера;Вальмиера;;;X;
PROV199;Tartu;Tartu;Tartu;Tartu;Tartu;Tartu;Турту;Тарту;;;X;
PROV200;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;Новгород;Новгород;;;X;
PROV201;Pskov;Pskov;Pskov;Pskov;Pskov;Pskov;Псков;Псков;;;X;
PROV202;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Даугавпилс;Даугавпилс;;;X;
PROV203;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Екабпилс;Екабпилс;;;X;
PROV204;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;Елгава;Елгава;;;X;
PROV205;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;Лиепая;Лиепая;;;X;
PROV206;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;Шауляй;Шауляй;;;X;
PROV207;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Каунас;Каунас;;;X;
PROV208;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Быдгощ;Быдгощ;;;X;
PROV209;Grodno;Grodno;Grodno;Grodno;Grodno;Grodno;Гродно;Гродно;;;X;
PROV210;Slonim;Slonim;Slonim;Slonim;Slonim;Sіonim;Слоним;Слоним;;;X;
PROV211;Kalisz;Kalisz;Kalisz;Kalisz;Kalisz;Kalisz;Калиш;Калиш;;;X;
PROV212;Minsk;Minsk;Minsk;Minsk;Minsk;Minsk;Минск;Минск;;;X;
PROV213;Glebokie;Glebokie;Glebokie;Glebokie;Glebokie;Gікbokie;Глебокий;Глубокое;;;X;
PROV214;Wilno;Wilno;Wilno;Wilno;Wilno;Wilno;Вильно;Вильнюс;;;X;
PROV215;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;Великие Луки;Великие Луки;;;X;
PROV216;Dno;Dno;Dno;Dno;Dno;Dno;Дно;Дно;;;X;
PROV217;Viciebsk;Viciebsk;Viciebsk;Viciebsk;Viciebsk;Viciebsk;Витебск;Витебск;;;X;
PROV218;Orsa;Orsa;Orsa;Orsa;Orsa;Orsa;Орша;Орша;;;X;
PROV219;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Смоленск;Смоленск;;;X;
PROV220;Mahilou;Mahilou;Mahilou;Mahilou;Mahilou;Mahilou;Могилев;Могилев;;;X;
PROV221;Babrujsk;Babrujsk;Babrujsk;Babrujsk;Babrujsk;Babrujsk;Бобруйск;Бобруйск;;;X;
PROV222;Wloclawek;Wloclawek;Wloclawek;Wloclawek;Wloclawek;Wіocіawek;Влоцлавек;Влоцлавек;;;X;
PROV223;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;Тильзит;Тильзит;;;X;
PROV224;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Залаэгерсег;Залаэгерсег;;;X;
PROV225;Mazyr;Mazyr;Mazyr;Mazyr;Mazyr;Mazyr;Мозырь;Мозырь;;;X;
PROV226;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Новоград-Волынский;Новоград-Волынский;;;X;
PROV227;Zitomir;Zitomir;Zitomir;Zitomir;Zitomir;Zitomir;Житомир;Житомир;;;X;
PROV228;Vinnicв;Vinnicв;Vinnicв;Vinnicв;Vinnicв;Vinnicв;Винница;Винница;;;X;
PROV229;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Тернополь;Тернополь;;;X;
PROV230;Balti;Balti;Balti;Balti;Balti;Balti;Балти;Бельцы;;;X;
PROV231;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Могилев -Подольский;Могилев -Подольский;;;X;
PROV232;Balta;Balta;Balta;Balta;Balta;Balta;Балта;Балта;;;X;
PROV233;Odesa;Odesa;Odesa;Odesa;Odesa;Odesa;Одесса;Одесса;;;X;
PROV234;Mikolaiv;Mikolaiv;Mikolaiv;Mikolaiv;Mikolaiv;Mikolaiv;Николаев;Николаев;;;X;
