Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Teng Daiyuan;1105041;U58;1938;1990;1990;1990;3;4;1;1;0;4;0;L76341;1938;1943;1999;x
Ding Ling;1105042;U58;1939;1990;1990;1990;3;3;0;1;0;4;0;L76342;1939;1970;1999;x
Zuo Quan;1105043;U58;1930;1938;1990;1990;2;4;0;2;0;4;0;L76343;1930;1946;1999;x
Wulanfu;1105044;U58;1930;1990;1990;1990;3;4;4;1;0;4;0;L76344;1930;1940;1999;x
Wang Jiaxiang;1105045;U58;1930;1930;1930;1990;1;4;0;2;0;4;0;L76345;1930;1940;1999;x
Wang Shusheng;1105046;U58;1942;1946;1990;1990;3;4;0;2;0;4;0;L76346;1942;1970;1999;x
Wei Guoqing;1105047;U58;1945;1990;1990;1990;3;4;0;1;0;4;0;L76347;1945;1970;1999;x
Yang Shangkun;1105048;U58;1930;1941;1990;1990;2;4;0;2;0;4;0;330;1930;1970;1999;x
Ye Jianying;1105049;U58;1938;1940;1990;1990;2;4;0;2;0;4;0;331;1938;1986;1999;x
Ye Ting;1105050;U58;1930;1943;1990;1990;2;4;0;2;0;4;0;332;1930;1946;1999;x
Zhang Aiping;1105051;U58;1942;1990;1990;1990;3;3;0;1;0;4;1;L76352;1942;1970;1999;x
Zhang Xuesi;1105052;U58;1930;1941;1990;1990;2;3;0;2;0;4;1;L76353;1930;1970;1999;x
Zheng Daoji;1105053;U58;1930;1990;1990;1990;3;3;1024;1;0;4;1;L76354;1930;1946;1999;x
Xiao Jinguang;1105054;U58;1938;1940;1945;1990;2;3;0;3;0;4;1;L76355;1938;1970;1999;x
Luo Xiangtao;1105055;U58;1943;1990;1990;1990;3;3;0;1;0;4;1;L76356;1943;1970;1999;x
Tao Yong;1105056;U58;1930;1990;1990;1990;3;3;0;1;0;4;1;L76357;1930;1970;1999;x
Tan Zhenlin;1105057;U58;1937;1941;1990;1990;2;3;0;2;0;4;1;L76358;1937;1945;1999;x
Deng Zihui;1105058;U58;1943;1944;1945;1990;1;5;4096;3;0;4;1;L76359;1943;1970;1999;x
Ye Fei;1105059;U58;1945;1990;1990;1990;3;3;0;1;0;4;1;L76360;1945;1970;1999;x
An Zhimin;1105060;U58;1942;1990;1990;1990;3;3;0;1;0;4;2;L76361;1942;1970;1999;x
Chang Qiankun;1105061;U58;1937;1944;1990;1990;3;3;0;2;0;4;2;L76362;1937;1970;1999;x
Chen Xi;1105062;U58;1942;1945;1990;1990;2;3;0;2;0;4;2;L76363;1942;1970;1999;x
Fang Huai;1105063;U58;1943;1990;1990;1990;3;3;0;1;0;4;2;L76364;1943;1970;1999;x
Fang Ziyi;1105064;U58;1930;1940;1942;1990;1;4;0;2;0;4;2;L76365;1930;1970;1999;x
Xia Boxun;1105065;U58;1930;1941;1990;1990;2;3;0;2;0;4;2;L76366;1930;1970;1999;x
Liu Zhen;1105066;U58;1944;1990;1990;1990;3;3;0;1;0;4;2;L76367;1944;1970;1999;x
Liu Yalou;1105067;U58;1946;1990;1990;1990;3;3;0;1;0;4;2;L76368;1946;1970;1999;x
Lü Liping;1105068;U58;1930;1990;1990;1990;3;5;4096;1;0;4;2;L76369;1930;1970;1999;x
Yuan Bin;1105069;U58;1942;1990;1990;1990;3;3;0;1;0;4;2;L76370;1942;1970;1999;x
Tsu Yue;1105070;U58;1945;1990;1990;1990;3;4;16;1;0;5;0;L76371;1945;1970;1999;x
Li Chong-ren;1105071;U58;1943;1946;1990;1990;2;5;8;2;0;5;0;L76372;1943;1970;1999;x
Bo Gu;1105072;U58;1924;1924;1924;1990;1;3;3;2;0;4;0;6022;1924;1936;1999;x
Chen Bojun;1105073;U58;1933;1936;1955;1990;1;5;3;2;0;4;0;6023;1933;1974;1999;x
Chen Xilian;1105074;U58;1943;1948;1955;2000;1;5;0;2;0;4;0;6024;1943;1999;1999;x
Ni Zhiliang;1105075;U58;1937;1955;1990;1990;2;5;3;2;0;4;0;6025;1937;1965;1999;x
Peng Shaohui;1105076;U58;1932;1949;1955;1990;2;5;3;2;0;4;0;6026;1932;1978;1999;x
Wang Hongkun;1105077;U58;1932;1936;1955;1999;1;5;3;2;0;4;0;6027;1932;1993;1999;x
Wang Zhen;1105078;U58;1944;1945;1955;1999;1;5;0;2;0;4;0;6028;1944;1993;1999;x
Xiao Ke;1105079;U58;1937;1946;1955;2010;1;5;3;2;0;4;0;6029;1937;2008;2009;x
Zhang Zongxun;1105080;U58;1930;1932;1955;1990;1;5;3;2;0;4;0;6030;1930;1998;1999;x
Zhou Shidi;1105081;U58;1936;1948;1955;1990;1;5;2;2;0;4;0;6031;1936;1979;1999;x
Wang Hongkun;1105082;U58;1955;1955;1999;1999;2;5;0;1;0;4;1;6027;1955;1993;1999;x
Zhou Shidi;1105083;U58;1924;1990;1990;1990;1;5;0;1;0;4;2;6031;1924;1979;1999;x
Kim Il Sung;1105084;U58;1930;1950;1950;1990;0;3;1;3;20;5;0;L579004;1930;1960;1999;x
Kang Kon;1105085;U58;1930;1990;1990;1990;3;3;0;3;20;5;1;L579024;1930;1960;1999;x
Ra Pilk Wan;1105086;U58;1930;1990;1990;1990;3;2;0;3;20;5;0;L579010;1930;1960;1999;x
Yang Jingyu;1105087;U58;1930;1930;1930;1990;1;5;0;3;20;5;0;9958;1930;1990;1999;x
Zhou Baozhong;1105088;U58;1930;1930;1930;1990;1;5;0;3;20;5;0;9959;1930;1990;1999;x
Li Zhaolin;1105089;U58;1930;1950;1950;1990;3;4;0;3;20;5;0;9963;1930;1990;1999;x
