Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Massana;12050;U52;1930;1990;1990;1990;3;4;256;1;0;5;0;L12050;1930;1990;x
Rodriguez;12051;U52;1930;1990;1990;1990;3;1;256;0;0;5;0;L12051;1930;1990;x
Jimenez;12052;U52;1930;1990;1990;1990;3;1;256;0;0;5;0;L12052;1930;1990;x
Vila;12053;U52;1930;1990;1990;1990;3;1;0;0;0;5;0;L12053;1930;1990;x
Facerias;12054;U52;1930;1990;1990;1990;3;2;256;1;0;5;0;L12054;1930;1990;x
Roger Madrigal;12055;U52;1930;1990;1990;1990;3;3;0;1;0;5;0;L12055;1930;1990;x
Martí Madrigal;12056;U52;1930;1990;1990;1990;3;3;0;1;0;5;0;L12056;1930;1990;x
Miracle;12057;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12057;1930;1990;x
Martinez;12058;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12058;1930;1990;x
Puertas;12059;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12059;1930;1990;x
Bertobillo;12060;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12060;1930;1990;x
Vidal;12061;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12061;1930;1990;x
Josep Lopez;12062;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12062;1930;1990;x
Crespo;12063;U52;1930;1990;1990;1990;3;2;256;1;0;5;0;L12063;1930;1990;x
López Tovar;12064;U52;1930;1990;1990;1990;2;2;256;1;0;5;0;L12064;1930;1990;x
Álvarez;12065;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12065;1930;1990;x
Barahonda;12066;U52;1930;1990;1990;1990;3;2;256;1;0;5;0;L12066;1930;1990;x
Escofet;12067;U52;1930;1990;1990;1990;3;3;260;1;0;5;0;L12067;1930;1990;x
Ricart;12068;U52;1930;1990;1990;1990;2;6;516;1;0;5;0;L12068;1930;1990;x
Boch;12069;U52;1930;1990;1990;1990;2;3;516;1;0;5;0;L12069;1930;1990;x
Luengo;12070;U52;1930;1990;1990;1990;3;3;0;1;0;5;0;L12070;1930;1990;x
Sala;12071;U52;1930;1990;1990;1990;3;3;516;1;0;5;0;L12071;1930;1990;x
López Gatell;12072;U52;1930;1990;1990;1990;3;3;4;1;0;5;0;L12072;1930;1990;x
Calvo;12073;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12073;1930;1990;x
Castillo;12074;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12074;1930;1990;x
Bauxalí;12075;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12075;1930;1990;x
Brufau;12076;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12076;1930;1990;x
Fiesta;12077;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12077;1930;1990;x
Llorens;12078;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12078;1930;1990;x
Maiquez;12079;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12079;1930;1990;x
Sarrió;12080;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12080;1930;1990;x
Selles;12081;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12081;1930;1990;x
Rufino;12082;U52;1930;1990;1990;1990;3;2;0;0;0;5;0;L12082;1930;1990;x
Puigdendolas;12083;U52;1930;1990;1990;1990;2;6;2;2;1;5;0;L12083;1930;1990;x
Peregrin;12084;U52;1930;1990;1990;1990;3;4;0;1;0;5;0;L12084;1930;1990;x
Pozas;12085;U52;1930;1990;1990;1990;3;4;0;1;0;5;0;L12085;1930;1990;x
Puy;12086;U52;1930;1990;1990;1990;2;4;0;1;0;5;0;L12086;1930;1990;x
Claveria;12087;U52;1930;1990;1990;1990;3;2;0;0;0;5;0;L12087;1930;1990;x
Franco;12088;U52;1930;1990;1990;1990;3;2;0;0;0;5;0;L12088;1930;1990;x
Martin;12089;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12089;1930;1990;x
Villalba;12090;U52;1930;1990;1990;1990;2;3;0;1;0;5;0;L12090;1930;1990;x
Medrano;12091;U52;1930;1990;1990;1990;3;4;0;1;0;5;0;L12091;1930;1990;x
Gea;12092;U52;1930;1990;1990;1990;3;3;0;1;0;5;0;L12092;1930;1990;x
Sencre;12093;U52;1930;1990;1990;1990;3;1;0;0;0;5;0;L12093;1930;1990;x
Nicolau;12094;U52;1930;1990;1990;1990;3;2;256;1;0;5;0;L12094;1930;1990;x
Salvat;12095;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12095;1930;1990;x
Torcatis;12096;U52;1930;1990;1990;1990;3;3;0;1;0;5;0;L12096;1930;1990;x
Turrell;12097;U52;1930;1990;1990;1990;3;3;262144;1;0;5;0;L12097;1930;1990;x
Ortiz;12098;U52;1930;1990;1990;1990;1;3;0;1;0;5;0;L12098;1930;1990;x
Ester;12099;U52;1930;1990;1990;1990;3;6;544;2;0;5;0;L12099;1930;1990;x
Berenguer;12100;U52;1930;1990;1990;1990;3;1;8192;0;0;5;1;L12100;1930;1990;x
Segura;12101;U52;1942;1990;1990;1990;2;5;8192;1;0;5;1;L12101;1942;1990;x
Goded Llopis;12102;U52;1930;1990;1990;1990;3;5;4;1;0;5;0;M588;1930;1990;x
Lozano;12103;U52;1930;1990;1990;1990;3;4;2;1;0;5;0;L12103;1930;1990;x
Palerm;12104;U52;1930;1990;1990;1990;3;3;0;1;0;5;0;M617;1930;1990;x
Buonacorsi;12105;U52;1930;1990;1990;1990;3;4;0;1;0;5;0;L12105;1930;1990;x
Garcia Ruíz;12106;U52;1930;1990;1990;1990;2;5;0;1;0;5;0;M624;1930;1990;x
Pellicer;12107;U52;1930;1990;1990;1990;3;1;0;0;0;5;0;L12107;1930;1990;x
Barber;12108;U52;1930;1990;1990;1990;3;3;0;1;0;5;0;L12108;1930;1990;x
Blaize;12109;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12109;1930;1990;x
Carbon;12110;U52;1930;1990;1990;1990;3;4;12288;1;0;5;2;L12110;1930;1990;x
Xandri;12111;U52;1930;1990;1990;1990;3;4;48;1;0;5;0;L12111;1930;1990;x
Pastor;12112;U52;1930;1990;1990;1990;3;6;0;1;0;5;2;L12112;1930;1990;x
Pérez Salas Je.;12113;U52;1930;1990;1990;1990;3;4;0;0;0;5;0;L12113;1930;1990;x
Pérez Salas Jo.;12114;U52;1930;1990;1990;1990;1;5;0;1;0;5;0;L12114;1930;1990;x
De San Pedro Aymat;12115;U52;1930;1990;1990;1990;1;5;0;1;0;5;0;L12115;1930;1990;x
Vega;12116;U52;1930;1990;1990;1990;3;3;0;1;0;5;0;L12116;1930;1990;x
Bastarreche;12117;U52;1930;1990;1990;1990;1;6;0;1;0;5;1;L12117;1930;1990;x
Dávila;12118;U52;1930;1990;1990;1990;2;5;0;2;0;5;0;M631;1930;1990;x
Lizcano;12119;U52;1930;1990;1990;1990;3;4;0;1;0;5;0;L12119;1930;1990;x
López-Amor;12120;U52;1930;1990;1990;1990;1;5;0;1;0;5;0;L12120;1930;1990;x
López Belda;12121;U52;1930;1990;1990;1990;3;5;0;1;0;5;0;L12121;1930;1990;x
López Ochoa;12122;U52;1930;1990;1990;1990;3;5;0;1;0;5;0;L12122;1930;1990;x
Lopez Varela;12123;U52;1930;1990;1990;1990;3;3;0;1;0;5;0;L12123;1930;1990;x
Monasterio;12124;U52;1930;1990;1990;1990;3;4;0;1;0;5;0;L12124;1930;1990;x
Ungria;12125;U52;1930;1990;1990;1990;3;5;0;1;0;5;0;L12125;1930;1990;x
Eixea;12126;U52;1930;1990;1990;1990;3;6;3;1;0;5;0;M597;1930;1990;x
Cardona;12127;U52;1930;1990;1990;1990;2;5;66560;1;0;5;1;L12127;1930;1990;x
Figueras;12128;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12128;1930;1990;x
RIbera;12129;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12129;1930;1990;x
Viniega;12130;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12130;1930;1990;x
Cano-Manuel;12131;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12131;1930;1990;x
Guillén;12132;U52;1930;1990;1990;1990;3;2;0;1;0;5;1;L12132;1930;1990;x
Cellier;12133;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12133;1930;1990;x
Basset;12134;U52;1930;1990;1990;1990;3;3;65536;1;0;5;1;L12134;1930;1990;x
Gutian;12135;U52;1930;1990;1990;1990;3;3;65536;1;0;5;1;L12135;1930;1990;x
Bosch;12136;U52;1930;1990;1990;1990;2;5;1536;1;0;5;1;L12136;1930;1990;x
Gómez Ceballos;12137;U52;1930;1990;1990;1990;3;2;0;1;0;5;1;L12137;1930;1990;x
Casas;12138;U52;1930;1990;1990;1990;3;2;0;1;0;5;1;L12138;1930;1990;x
Arbolí;12139;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12139;1930;1990;x
Chereguini;12140;U52;1930;1990;1990;1990;2;4;0;1;0;5;1;L12140;1930;1990;x
Anglada;12141;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12141;1930;1990;x
Bona;12142;U52;1930;1990;1990;1990;3;2;0;1;0;5;1;L12142;1930;1990;x
Verdaguer;12143;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12143;1930;1990;x
Segalerva;12144;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12144;1930;1990;x
Barberá;12145;U52;1930;1990;1990;1990;3;3;0;1;0;5;1;L12145;1930;1990;x
