MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GAR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVE;SUB;NSUB;TRA;CVL;R INT;rsv_33;rsv_34;rsv_35;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;X;Used By
MOV_STORM;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-25;-25;-25;-25;-25;-25;-25;0;0;-20;-20;-20;-20;-20;-20;-35;-20;-20;-20;-20;-25;0;0;0;0;0;0;0;0;X;Land units
MOV_MUDDY;-80;-80;-95;-75;-75;-75;-75;-35;-65;-80;-80;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_NIGHT;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-10;-10;-10;-10;-10;-10;-10;0;0;-10;-10;-10;-10;-10;-10;-40;0;0;-10;-10;-10;0;0;0;0;0;0;0;0;X;Land units
MOV_PLAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_DESERT;-15;-20;0;0;0;0;-10;-10;-10;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_MOUNTAIN;-45;-45;-80;-80;-80;-80;-40;-40;-20;-45;-45;-40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_HILL;-20;-20;-45;-40;-40;-40;-15;-15;-10;-20;-20;-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_FOREST;-15;-15;-35;-35;-35;-35;-10;-10;-10;-15;-15;-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_JUNGLE;-40;-40;-75;-75;-75;-75;-35;-15;-30;-40;-40;-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_SWAMP;-60;-60;-90;-70;-70;-70;-55;-25;-50;-60;-60;-55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_URBAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
